,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
1387,Kuwait,17.0,Sanjeeda Sheikh,http://www.wikidata.org/entity/Q7418498,wd:Q7418498,15701394,Sanjeeda Sheikh  (born 20 December 1984) is an Indian actress who works in the Hindi television industry. She is one of the most famous actress of indian television. She made her television debut with Kyaa Hoga Nimmo Kaa and bollywood debut with Baghban.,https://en.wikipedia.org/wiki/Sanjeeda_Sheikh
1407,Kyrgyzstan,16.0,Abdylas Maldybaev,http://www.wikidata.org/entity/Q479615,wd:Q479615,3596064,"Abdylas Maldybaevich Maldybaev (Kyrgyz: Абдылас Малдыбаевич Малдыбаев; July 7, 1906 – June 1, 1978) was a Kyrgyz composer, actor, and operatic tenor singer. Maldybaev was one of the composers of the state anthem of the Kirghiz SSR and is still renowned for his operatic composition. He helped popularize Kyrgyz music by skillfully using Western European techniques. The Kyrgyz one som banknote pictures him.
Maldybayev provided folk melodies and composed music which was organized and prepared by Russian composers Vladimir Vlasov and Vladimir Fere into six Soviet state operas and other works. Their first full opera was Ai-churek. The collective is usually hyphenated as Vlasov-Fere-Maldybayev, which also composed the Kirghiz national anthem.",https://en.wikipedia.org/wiki/Abdylas_Maldybaev
1421,Laos,8.0,Alexandra Bounxouei,http://www.wikidata.org/entity/Q6653685,wd:Q6653685,62866727,"Alexandra Bounxouei (Lao: ອເລັກຊານດຣ້າ ບຸນຊ່ວຍ, Thai: อเล็กซานดร้า บุญช่วย; born 28 May 1987) is a Laotian–Bulgarian singer, actress and model who is popular in Laos, Thailand and the south-east Asia countries. She is the first UNDP's Goodwill Ambassador for Lao PDR since 2013.",https://en.wikipedia.org/wiki/Alexandra_Bounxouei
1425,Latvia,57.0,Mikhail Baryshnikov,http://www.wikidata.org/entity/Q295420,wd:Q295420,427626,"Mikhail Nikolayevich Baryshnikov (Russian: Михаи́л Никола́евич Бары́шников, IPA: [mʲɪxɐˈil bɐ'rɨʂnʲɪkəf]; Latvian: Mihails Barišņikovs; born January 28, 1948) is a Soviet Latvian-born Russian-American dancer, choreographer, and actor. He was the preeminent male classical dancer of the 1970s and 1980s. He subsequently became a noted dance director.Born in Riga, Latvian SSR, Baryshnikov had a promising start in the Kirov Ballet in Leningrad before defecting to Canada in 1974 for more opportunities in Western dance. After dancing with American Ballet Theatre, he joined the New York City Ballet as a principal dancer for one season to learn George Balanchine's neoclassical Russian style of movement. He then returned to the American Ballet Theatre, where he later became artistic director. Baryshnikov has spearheaded many of his own artistic projects and has been associated in particular with promoting modern dance, premiering dozens of new works, including many of his own. His success as a dramatic actor on stage, cinema and television has helped him become probably the most widely recognized contemporary ballet dancer. Baryshnikov has never returned to Russia since his 1974 defection and has been a naturalized citizen of the United States since 1986. In 2017, the Republic of Latvia granted Baryshnikov citizenship for extraordinary merits.
In 1977, he received a nomination for the Academy Award for Best Supporting Actor and a Golden Globe nomination for his portrayal of Yuri Kopeikine in the film The Turning Point. He starred in the movie White Nights with Gregory Hines, Helen Mirren, and Isabella Rossellini, and had a recurring role in the last season of the television series Sex and the City.",https://en.wikipedia.org/wiki/Mikhail_Baryshnikov
1445,Lebanon,110.0,Keanu Reeves,http://www.wikidata.org/entity/Q43416,wd:Q43416,16603,"Keanu Charles Reeves ( kee-AH-noo; born September 2, 1964) is a Canadian actor. Born in Beirut and raised in Toronto, Reeves began acting in theatre productions and in television films before making his feature film debut in Youngblood (1986). He had his breakthrough role in the science fiction comedy Bill & Ted's Excellent Adventure (1989), and he reprised his role in its sequels. He gained praise for playing a hustler in the independent drama My Own Private Idaho (1991), and established himself as an action hero with leading roles in Point Break (1991) and Speed (1994).
Following several box office failures, Reeves's performance in the horror film The Devil's Advocate (1997) was well received. Greater stardom came for playing Neo in the science fiction series The Matrix, beginning in 1999. He played John Constantine in Constantine (2005) and starred in the romantic drama The Lake House (2006), the science fiction thriller The Day the Earth Stood Still (2008), and the crime thriller Street Kings (2008). Following a setback, Reeves made a comeback by playing the titular assassin in the John Wick film series, beginning in 2014.
In addition to acting, Reeves has directed the film Man of Tai Chi (2013). He has played bass guitar for the band Dogstar and pursued other endeavours such as writing and philanthropy.",https://en.wikipedia.org/wiki/Keanu_Reeves
1468,Lesotho,4.0,Tsidii Le Loka,http://www.wikidata.org/entity/Q3541558,wd:Q3541558,9762048,"Tsidii Le Loka (born April 3, 1968, in Lesotho) is an actress, vocalist and composer from South Africa and The Kingdom of Lesotho. She is best known for originating the role of Rafiki in the original Broadway production of Disney's stage musical, The Lion King.",https://en.wikipedia.org/wiki/Tsidii_Le_Loka
1471,Liberia,14.0,Cheryl Dunye,http://www.wikidata.org/entity/Q1070518,wd:Q1070518,6805002,"Cheryl Dunye (born May 13, 1966) is a Liberian-American film director, producer, screenwriter, editor and actress. Dunye's work often concerns themes of race, sexuality, and gender, particularly issues relating to black lesbians. She is known as the first black lesbian to ever direct a feature film with her 1996 film The Watermelon Woman. She runs the production company Jingletown Films based in Oakland California.",https://en.wikipedia.org/wiki/Cheryl_Dunye
1479,Libya,27.0,Rossana Podestà,http://www.wikidata.org/entity/Q261860,wd:Q261860,4605478,Rossana Podestà (born Carla Dora Podestà; 20 June 1934 – 10 December 2013) was an Italian actress who worked mainly in Italy from the 1950s to the 1970s.,https://en.wikipedia.org/wiki/Rossana_Podest%C3%A0
1497,Liechtenstein,5.0,Medea de Novara,http://www.wikidata.org/entity/Q6008514,wd:Q6008514,46615771,Medea de Novara (1905–2001) was a Liechtensteiner-born actress who appeared in Mexican films. She was married to the Mexican film director Miguel Contreras Torres. She was noted for her resemblance to the Empress Carlota of Mexico who she played four times on screen.,https://en.wikipedia.org/wiki/Medea_de_Novara
1499,Lithuania,40.0,Al Jolson,http://www.wikidata.org/entity/Q128532,wd:Q128532,19563640,"Al Jolson (born Asa Yoelson; May 26, 1886 – October 23, 1950) was an American singer, comedian, actor, and vaudevillian. Self-billed as ""The World's Greatest Entertainer"", Jolson is credited with being America's most famous and highest-paid star of the 1920s. He was known for his ""shamelessly sentimental, melodramatic approach"", and for popularizing many of the songs he performed. Jolson has been referred to by modern critics as ""the king of blackface performers"".Although best remembered today as the star of the first talking picture, The Jazz Singer (1927), he starred in a series of successful musical films during the 1930s. After the attack on Pearl Harbor in December 1941, he was the first star to entertain troops overseas during World War II. After a period of inactivity, his stardom returned with The Jolson Story (1946), in which Larry Parks played Jolson, with the singer dubbing for Parks. The formula was repeated in a sequel, Jolson Sings Again (1949). In 1950, he again became the first star to entertain GIs on active service in the Korean War, performing 42 shows in 16 days. He died weeks after returning to the U.S., partly owing to the physical exhaustion from the performance schedule. Defense Secretary George Marshall posthumously awarded him the Medal for Merit.According to music historian Larry Stempel, ""No one had heard anything quite like it before on Broadway."" Stephen Banfield wrote that Jolson's style was ""arguably the single most important factor in defining the modern musical"".With his dynamic style of singing jazz and blues, he became widely successful by extracting traditionally African-American music and popularizing it for white American audiences who would be unwilling to listen to it when performed by black artists. Despite his promotion and perpetuation of black stereotypes, his work was often well-regarded by black publications and he has been credited for fighting against black discrimination on Broadway as early as 1911. In an essay written in 2000, music critic Ted Gioia remarked, ""If blackface has its shameful poster boy, it is Al Jolson"", showcasing Jolson's complex legacy in American society.",https://en.wikipedia.org/wiki/Al_Jolson
1519,Luxembourg,24.0,Vicky Krieps,http://www.wikidata.org/entity/Q2522116,wd:Q2522116,42744892,"Vicky Krieps (born October 4, 1983) is a Luxembourgish actress. She has starred in a number of American, Luxembourgish, French, and German productions. She appeared in films such as Hanna, Two Lives, A Most Wanted Man, The Chambermaid Lynn, Colonia, and Old. Krieps had a leading role in the Academy Award-winning film Phantom Thread. She has starred in the films, Gutland, The Girl in the Spider's Web, and The Last Vermeer. She received a German Television Award for the series Das Boot.",https://en.wikipedia.org/wiki/Vicky_Krieps
1539,Madagascar,11.0,Dariush Arjmand,http://www.wikidata.org/entity/Q3016197,wd:Q3016197,4779709,"Dariush Arjmand (Persian: داریوش ارجمند; born 27 July 1944 in Mashhad, Iran) is an Iranian actor.
A son of a military father and a housewife mother, he was born in Mashhad and grew up in Mashhad. He started performing in plays at the age of 12. At the age of 26, he started working for the Ministry of Art and Culture. In the meantime, is a Crystal-Simorgh winning Iranian actor.",https://en.wikipedia.org/wiki/Dariush_Arjmand
1545,Malawi,10.0,Patrick Allen,http://www.wikidata.org/entity/Q133925,wd:Q133925,1270304,John Keith Patrick Allen (17 March 1927 – 28 July 2006) was a British actor.,https://en.wikipedia.org/wiki/Patrick_Allen
1552,Malaysia,68.0,Siti Nurhaliza,http://www.wikidata.org/entity/Q2725555,wd:Q2725555,1730738,"Dato' Sri Hajah Siti Nurhaliza Tarudin  (Jawi: سيتي نورهاليزا بنت تارودين ; IPA: [ˈsiti nʊrhaˈliza ˈbinti taˈrudɪn]; born 11 January 1979)  is a Malaysian singer, songwriter, actress and businesswoman with more than 300 local and international awards. She made her debut after she won a local singing competition show, ""Bintang HMI"" in 1995 when she was 16. Her debut single, Jerat Percintaan, won the 11th Anugerah Juara Lagu and another two awards for Best Performance and Best Ballad. The album, as of 2005, has sold more than 800,000 units in Malaysia. She has recorded and sung in multiple languages, including Malaysian, Javanese, English,and Mandarin.
Throughout her career, Siti has received an unprecedented number of music awards in Malaysia and its neighbouring countries: 42 Anugerah Industri Muzik, 25 Anugerah Bintang Popular, 28 Anugerah Planet Muzik, 21 Anugerah Juara Lagu, four MTV Asia Awards, three World Music Awards, two Anugerah Musik Indonesia (Indonesian Music Awards), and two records in the Malaysia Book of Records. Having 19 studio albums, she is one of the most popular artists in the Malay Archipelago and Nusantara region – she has been voted for Regional Most Popular Artiste ten times in a row beating other fellow artists from Malaysia, Indonesia, and Singapore in the Anugerah Planet Muzik since 2001. Currently listed as one of Malaysia's richest, most-influential, most award-winning, and most single-produced artist. She is also one of Malaysia's best selling artists, with her album sales having contributed to 10 percent of Malaysia's total album sales for 2001. To date, she has sold more than 6 million in record sales.
At international stage, Siti has won the Gold Award in Asia New Singer Competition at Shanghai Asia Music Festival in 1999, two awards from 'South Pacific International Song and Singing Competition 1999' held in Gold Coast, Queensland, Australia, and the Grand Prix Champion title in Voice of Asia in 2002 held in Almaty, Kazakhstan. In 2020, after receiving a record breaking of votes, she won the public choice for Adelaide Festival Centre's Walk of Fame 2019.Besides musical awards, she has various other achievements. In 1998, Siti was chosen to perform during the closing ceremony of 1998 Commonwealth Games in front of Queen Elizabeth II and her consort, Prince Philip, among other dignitaries and officials from 70 countries including those from the Commonwealth of Nations. In 2005, Siti became the first Southeast Asian singer, and third Asian singer to perform a solo concert at the Royal Albert Hall, London, while being backed by the London Symphony Orchestra. She was listed second by MTV Asia in Asia's Best Musical Artiste and Channel V's Biggest Asian Artiste in 2005. Later in 2008, she was named as one of Asia's Idol by Asia News Network. She also has been listed as one of The Muslim 500 - The World's 500 Most Influential Muslims from year 2015 to 2022. Her success in the Asian region has gained her honorific titles including the ""Voice of Asia"" and ""Asia's Celine Dion"".",https://en.wikipedia.org/wiki/Siti_Nurhaliza
1574,Maldives,2.0,Ali Ahmed,http://www.wikidata.org/entity/Q63341565,wd:Q63341565,59204842,Ali Ahmed was a Maldivian film actor.,https://en.wikipedia.org/wiki/Ali_Ahmed_(actor)
1588,Mali,24.0,Fatoumata Diawara,http://www.wikidata.org/entity/Q707255,wd:Q707255,32019705,"Fatoumata Diawara (Bambara: ߝߊ߫ߕߎߡߕߊ ߖߊ߯ߥߙߊ߫, romanized: Fatumta Jawara, born 1982 in Ouragahio, Ivory Coast) is a Malian actress, singer-songwriter and guitarist currently living in France.
She received two nominations at the 61st Annual Grammy Awards for Best World Music Album for her album Fenfo and Best Dance Recording for ""Ultimatum"" in which she was featured with the English band Disclosure. She performed a Tiny Desk home concert in February 2022.",https://en.wikipedia.org/wiki/Fatoumata_Diawara
1610,Malta,22.0,Jessika Muscat,http://www.wikidata.org/entity/Q18626235,wd:Q18626235,56741706,"Jessica Muscat (born 27 February 1989 in Mosta, Malta), more commonly known as Jessika is a Maltese singer and actress. She represented San Marino in the Eurovision Song Contest 2018 in Lisbon, Portugal, with the song ""Who We Are"", alongside Jenifer Brening. She had previously attempted to represent her home country every year from 2008 to 2016 and in the Junior Eurovision Song Contest 2004 with the song ""Precious Time"". As an actress, she plays the character of Emma on daily Maltese soap opera Ħbieb u Għedewwa.",https://en.wikipedia.org/wiki/Jessika_Muscat
1628,Marshall Islands,12.0,Lisa Loring,http://www.wikidata.org/entity/Q2397104,wd:Q2397104,1531937,"Lisa Loring (born Lisa Ann DeCinces; February 16, 1958) is an American actress. She is best known for having played Wednesday Addams at 6 years old on the 1964–1966 sitcom The Addams Family.",https://en.wikipedia.org/wiki/Lisa_Loring
1631,Mauritania,19.0,Med Hondo,http://www.wikidata.org/entity/Q180886,wd:Q180886,24097811,"Med Hondo (born Mohamed Abid Hondo; 4 May 1936 – 2 March 2019) was a Mauritanian-born French actor, producer, screenwriter and film director. He emigrated to France in 1959 and began to work in film during the 1960s. He received critical acclaim for his 1970 directorial début Soleil O.",https://en.wikipedia.org/wiki/Med_Hondo
1635,Mauritius,11.0,Viveka Babajee,http://www.wikidata.org/entity/Q3465902,wd:Q3465902,27856033,"Viveka Babajee (27 May 1973 – 25 June 2010) was a Mauritian model and actress. She held the titles of Miss Mauritius World 1993 and Miss Mauritius Universe 1994. She was best known for her KamaSutra condom advertisements in the 1990s, and for her involvement in the so-called ""Manila Film Festival"" scam of 1994.Babajee was found hanging from the ceiling fan in her apartment on 25 June 2010, at her Bandra residence in Mumbai. The police reports stated that she committed suicide due to depression.",https://en.wikipedia.org/wiki/Viveka_Babajee
1643,Moldova,41.0,Kira Muratova,http://www.wikidata.org/entity/Q435805,wd:Q435805,5422466,"Kira Georgievna Muratova (Russian: Кира Георгиевна Муратова; Romanian: Kira Gueórguievna Muratova; Ukrainian: Кіра Георгіївна Мура́това; née Korotkova, 5 November 1934 – 6 June 2018) was a Soviet-Ukrainian award-winning film director, screenwriter and actress of Romanian/Jewish descent, known for her unusual directorial style. Muratova's films underwent a great deal of censorship in the Soviet Union, yet still Muratova managed to emerge as one of the leading figures in contemporary Russian cinema and was able to build a very successful film career from 1960s onwards. Muratova, along with Nikita Mikhalkov, Vadim Abdrashitov, Aleksandr Sokurov, Aleksei German, and Aleksei Balabanov are considered arguably Russia's lead filmmakers who weathered the collapse of the USSR yet managed to productively continue their filmmaking work from the early 1990s onward.Her work has been described as possibly 'one of the most distinctive and singular oeuvres of cinematic world-making.'Muratova spent much of her artistic career in Odessa, creating most of her films at Odesa Film Studios.",https://en.wikipedia.org/wiki/Kira_Muratova
1662,Monaco,110.0,Grace Kelly,http://www.wikidata.org/entity/Q3925,wd:Q3925,42620,"Grace Patricia Kelly (November 12, 1929 – September 14, 1982) was an American actress who, after starring in several significant films in the early to mid-1950s, became Princess of Monaco by marrying Prince Rainier III in April 1956.
Kelly was born into a well-known Catholic family of Irish and German origin in the U.S. city of Philadelphia. After graduating from the American Academy of Dramatic Arts in 1949, Kelly began appearing in New York City theatrical productions and over 40 live drama productions broadcast in early 1950s Golden Age of Television. She gained stardom from her performance in John Ford's adventure-romance Mogambo (1953), for which she was nominated for an Academy Award for Best Supporting Actress. She won the Academy Award for Best Actress for her performance in the drama The Country Girl (1954). Other notable works include the western High Noon (1952), the romantic comedy High Society (1956), and three consecutive Alfred Hitchcock suspense thrillers: Dial M for Murder (1954), Rear Window (1954), and To Catch a Thief (1955). Kelly worked with some of the most prominent leading men of the era, including Gary Cooper, Clark Gable, Ray Milland, James Stewart, Bing Crosby, William Holden, Cary Grant, Alec Guinness, and Frank Sinatra.
Kelly retired from acting at age 26 to marry Rainier, and began her duties as Princess of Monaco. Hitchcock hoped that she would appear in more of his films which required an ""icy blonde"" lead actress, but he was unable to coax her out of retirement. The Prince and Princess had three children: Princess Caroline, Prince Albert, and Princess Stéphanie. Princess Grace retained her link to America by her dual U.S. and Monégasque citizenship. Her charity work focused on young children and the arts, establishing the Princess Grace Foundation to support local artisans in 1964. Her organization for children's rights, AMADE Mondiale, gained consultive status within UNICEF and UNESCO. Her final film contribution was in 1977 to the documentary The Children of Theatre Street directed by Robert Dornhelm, where she served as the narrator. The documentary was nominated for an Academy Award for Best Documentary Feature.
Kelly died at the age of 52 at Monaco Hospital on September 14, 1982, from injuries sustained in a car crash the previous day.  She is listed 13th among the American Film Institute's 25 Greatest Female Stars of Classical Hollywood Cinema. Her son, Prince Albert, helped establish the Princess Grace Awards in 1984 to recognize emerging performers in film, theatre, and dance.",https://en.wikipedia.org/wiki/Grace_Kelly
1671,Mongolia,11.0,Uisenma Borchu,http://www.wikidata.org/entity/Q24324351,wd:Q24324351,60479851,"Uizenma Borchu, née Borkhüügiin Uizenmaa (Mongolian: Борхүүгийн Үйзэнмаа; born 1984 in Ulaanbaatar) is a Mongolian-German film maker and film actress. In 1989, she moved with her family from Mongolia to East Germany, where she grew up. During the period of 2006-2015 she studied documentary film at the University of Television and Film in Munich.",https://en.wikipedia.org/wiki/Uisenma_Borchu
1687,Montenegro,14.0,Ekatherina Andreeva,http://www.wikidata.org/entity/Q1982592,wd:Q1982592,49390538,"Ekaterina Sergeevna Andreeva (Russian: Екатерина Сергеевна Андреева; born 27 November 1961 or 1965) is a Russian journalist, actress and anchor of Vremya and Novosti, Channel One Russia's main evening news bulletins since 1997.",https://en.wikipedia.org/wiki/Ekaterina_Andreeva_(journalist)
1705,Morocco,79.0,Jean Reno,http://www.wikidata.org/entity/Q43697,wd:Q43697,38253,"Juan Moreno y Herrera–Jiménez (born 30 July 1948), known as Jean Reno (French: [ʒɑ̃ ʁeno]), is a French actor of Andalusian Spanish origin. He has worked in American, French, English, Japanese, Spanish and Italian movie productions; Reno appeared in films such as Crimson Rivers, Godzilla, The Da Vinci Code, Mission: Impossible, The Pink Panther, Ronin, Les Visiteurs, Wasabi, The Big Blue, Hector and the Search for Happiness and Léon: The Professional.",https://en.wikipedia.org/wiki/Jean_Reno
1732,Mozambique,13.0,Tasha de Vasconcelos,http://www.wikidata.org/entity/Q2525463,wd:Q2525463,29577294,"Tasha Sandra Mota e Cunha de Vasconcelos (born 15 August 1966) is a Mozambican-born Portuguese-Canadian supermodel, actress and humanitarian ambassador. She is also the ambassador for the Institut Pasteur. She has just been appointed as a UN Women Global champion for Planet 50-50 by 2030.",https://en.wikipedia.org/wiki/Tasha_de_Vasconcelos
1739,Myanmar,30.0,Helen,http://www.wikidata.org/entity/Q467223,wd:Q467223,2278796,"Helen Ann Richardson Khan (born as Helen Ann Richardson; 21 November 1938), known mononymously as Helen, is an Indian actress and dancer. She has appeared in over 700 films, making her a prolific performer in Hindi cinema. She is known for her supporting, character roles and guest appearances in a career spanning seventy years.
Helen has received two Filmfare Awards, and is often cited as one of the most popular nautch dancers of her time. In 2009, Helen was awarded with the Padma Shri by the Government of India. She was the inspiration for four films and a book.

",https://en.wikipedia.org/wiki/Helen_(actress)
1760,Namibia,6.0,Rolf von Goth,http://www.wikidata.org/entity/Q99584,wd:Q99584,42713272,"Rolf von Goth (5 November 1906 – 9 November 1981) was a film actor from Windhoek in German Southwest Africa who settled and worked in Germany. After appearing in minor roles in several silent films such as Metropolis (1927) von Goth emerged as a prominent actor in the late 1920s. During the early 1930s he played a mixture of leading and supporting roles in films such as Once There Was a Waltz and A Shot at Dawn (1932) but his appearances began to decline during the Nazi era. By the outbreak of the Second World War he had almost entirely retired from film. von Goth switched to become a director of radio shows, becoming extremely successful in the format during the post-war years. He was married to the actress Karin Hardt.",https://en.wikipedia.org/wiki/Rolf_von_Goth
1770,Nepal,43.0,Manisha Koirala,http://www.wikidata.org/entity/Q186606,wd:Q186606,355379,"Manisha Koirala (pronounced [mʌˈnisa ˈkoirala]; born 16 August 1970) is a Nepalese actress who is known for her work in Indian films, predominantly in Hindi and Tamil languages. Known for her work in leads roles in the 1990s and early 2000s in both commercial and independent cinema, she is the recipient of several accolades, including four Filmfare Awards. In 2001, the Government of Nepal awarded her with the Order of Gorkha Dakshina Bahu, the second highest honour of the country. Rated as one of the most beautiful actresses in Indian cinemas as well as she was a highest paid actress in 90s and 2000s charging almost 19 Million for per film  
Born to the politically prominent Koirala family, she is the daughter of Prakash Koirala and granddaughter of Bishweshwar Prasad Koirala, former Prime Minister of Nepal. Initially aspiring to become a doctor, she had a brief stint in modeling, and subsequently made her acting debut with the Nepali film Pheri Bhetaula (1989) while still in school. She later went on to feature in the Hindi drama film Saudagar (1991). Following a series of commercial failures, Koirala established herself as a leading actress with acclaimed patriotic romance 1942: A Love Story (1994) and the Tamil-language romantic drama Bombay (1995), subsequently starring in a series of commercial successes, including Agni Sakshi (1996), Indian (1996), Gupt: The Hidden Truth (1997), Kachche Dhaage, the Tamil-language film Mudhalvan (both 1999), Company (2002)  and  Ek Chhotisi Love Story (2002). She received critical recognition for her portrayal of an ambitious wife in the drama Akele Hum Akele Tum (1995), the daughter of deaf-mute parents in the  musical romance Khamoshi: The Musical (1996), a terrorist in the romantic thriller Dil Se.. (1998), a mistreated woman in the drama Lajja (2001) and Sushmita Banerjee in the biopic  Escape From Taliban (2003).
Post-2003, Koirala began to work with independent film makers in art-house projects and in regional films. Her performance in the drama Tulsi (2008), the Malayalam psychological drama Elektra (2010), the anthology I Am (2010) and the romantic comedy Mappillai (2011) were praised. She took a break from acting after being diagnosed with ovarian cancer in 2012 and returned five years later with the coming-of-age drama Dear Maya (2017). The following year, she featured in the Netflix production Lust Stories and the biography Sanju; the latter ranks among the highest-grossing Indian releases. In addition to acting in films, Koirala is a stage performer and has contributed as an author to the novel Healed, an account of her struggle with ovarian cancer.  Koirala was appointed as the Goodwill Ambassador for the United Nations Population Fund in 1999 for India and 2015 for Nepal, and was involved in the relief works after the April 2015 Nepal earthquake. She promotes causes such as women's rights, prevention of violence against women, prevention of human trafficking and cancer awareness.",https://en.wikipedia.org/wiki/Manisha_Koirala
1791,Netherlands,66.0,Rutger Hauer,http://www.wikidata.org/entity/Q213574,wd:Q213574,37500,"Rutger Oelsen Hauer (Dutch: [ˈrʏtxər ˈulsə(n) ˈɦʌuər]; 23 January 1944 – 19 July 2019) was a Dutch actor. In 1999, he was named by the Dutch public as the Best Dutch Actor of the Century.Hauer's career began in 1969 with the title role in the Dutch television series Floris and surged with his leading role in Turkish Delight (1973), which in 1999 was named the Best Dutch Film of the Century. After gaining international recognition with Soldier of Orange (1977) and Spetters (1980), he moved into American films such as Nighthawks (1981) and Blade Runner (1982), starring in the latter as self-aware replicant Roy Batty. His performance in Blade Runner led to roles in The Osterman Weekend (1983), Ladyhawke (1985), The Hitcher (1986), The Legend of the Holy Drinker (1988), and Blind Fury (1989), among other films.
From the 1990s on, Hauer moved into low-budget films, and supporting roles in major films such as Buffy the Vampire Slayer (1992), Confessions of a Dangerous Mind (2002),  Batman Begins (2005), Sin City (2005) and The Rite (2011). Hauer also became well known for his work in commercials. Towards the end of his career, he made a return to Dutch cinema, and won the 2012 Rembrandt Award for Best Actor in recognition of his lead role in The Heineken Kidnapping (2011). 
Hauer supported environmentalist causes and was a member of the Sea Shepherd Conservation Society. He also founded the Rutger Hauer Starfish Association, an AIDS awareness organization. He was made a knight in the Order of the Netherlands Lion in 2013.",https://en.wikipedia.org/wiki/Rutger_Hauer
1812,New Zealand,117.0,Russell Crowe,http://www.wikidata.org/entity/Q129817,wd:Q129817,25695,"Russell Ira Crowe (born 7 April 1964) is an actor, director, musician, and singer. He was born in New Zealand, spent 10 years of his childhood in Australia, and moved there permanently at age 21. He came to international attention for his role as Roman General Maximus Decimus Meridius in the epic historical film Gladiator (2000), for which he won an Academy Award, Broadcast Film Critics Association Award, Empire Award, and London Film Critics Circle Award for Best Leading Actor, along with 10 other nominations in the same category.
Crowe's other award-winning performances include tobacco firm whistle-blower Jeffrey Wigand in the drama film The Insider (1999) and John F. Nash in the biopic A Beautiful Mind (2001). He has also starred in films such as the drama Romper Stomper (1992), the mystery-detective thriller L.A. Confidential (1997), the epic war film Master and Commander: The Far Side of the World (2003), the boxing drama Cinderella Man (2005), the Western 3:10 to Yuma (2007), the crime drama American Gangster (2007), the thriller-drama State of Play (2009), and Robin Hood (2010).
Crowe later starred in the musical drama Les Misérables (2012), as Jor-El in the superhero epic Man of Steel (2013), the biblical fantasy drama Noah (2014), and the action comedy The Nice Guys (2016). In 2014, he made his directorial debut with the drama The Water Diviner, in which he also starred. He has earned several accolades, including a star on the Hollywood Walk of Fame, two Golden Globe Awards, one BAFTA, and one Academy Award out of three consecutive nominations (1999, 2000, and 2001). He has been the co-owner of the National Rugby League (NRL) team South Sydney Rabbitohs since 2006.",https://en.wikipedia.org/wiki/Russell_Crowe
1833,Nicaragua,30.0,Barbara Carrera,http://www.wikidata.org/entity/Q235294,wd:Q235294,1644360,"Barbara Carrera (née Kingsbury) is a Nicaraguan-American model and actress. She is known for her roles as SPECTRE assassin Fatima Blush in Never Say Never Again, as Maria in The Island of Dr. Moreau, and as Angelica Nero on the soap opera Dallas.",https://en.wikipedia.org/wiki/Barbara_Carrera
1843,Niger,24.0,Ismaël Lô,http://www.wikidata.org/entity/Q471774,wd:Q471774,5378477,Ismaël Lô (also Ismaël Lo) is a Senegalese musician and actor.,https://en.wikipedia.org/wiki/Isma%C3%ABl_L%C3%B4
1856,Nigeria,63.0,Hugo Weaving,http://www.wikidata.org/entity/Q42204,wd:Q42204,170977,"Hugo Wallace Weaving  (born 4 April 1960) is an English actor. Born in Colonial Nigeria to English parents, he has resided in Australia for the entirety of his professional career. He is the recipient of six Australian Academy of Cinema and Television Arts Awards (AACTA) and has also been recognized as an Honorary Officer of the Order of Australia.
Weaving landed his first major role as English cricket captain Douglas Jardine on the Australian television series Bodyline (1984). Continuing to act in Australia, he rose to prominence with his appearances in the films Proof (1991) and The Adventures of Priscilla, Queen of the Desert (1994), winning his first AACTA Award for Best Actor in a Leading Role for the former. By the turn of the millennium, Weaving achieved international recognition through appearances in mainstream American productions. His most notable film roles include Agent Smith in the first three The Matrix films (1999–2003), Elrond in The Lord of the Rings (2001–2003) and The Hobbit (2012–2014) trilogies, the title character in V for Vendetta (2005), and Johann Schmidt / Red Skull in the Marvel Cinematic Universe (MCU) film Captain America: The First Avenger (2011).
In addition to his live action appearances, Weaving has had several voice over roles, including in the films Babe (1995), Happy Feet (2006) and Happy Feet Two (2011), and the Transformers series as Megatron. He also reprised his roles of Agent Smith and Elrond in Matrix and Lord of the Rings video game adaptations.",https://en.wikipedia.org/wiki/Hugo_Weaving
1877,North Korea,28.0,Youn Yuh-jung,http://www.wikidata.org/entity/Q491013,wd:Q491013,26143279,"Youn Yuh-jung (Korean: 윤여정, Korean pronunciation: [jun jʌdʑʌŋ]; born June 19, 1947) is a South Korean actress, whose career in film and television spans over five decades. Her accolades include an Academy Award, a Screen Actors Guild Award, a BAFTA Award, an Independent Spirit Award, and a nomination for a Critics' Choice Movie Award. She has starred in many South Korean television series and films.
She gained international recognition for her role in Minari (2020). Her critically acclaimed portrayal of Soon-ja in the film made her the first Korean actress to win a Screen Actors Guild Award, Indie Spirit Award, British Academy Film Award, and the Academy Award, as well as the first to be nominated for a Critics' Choice Movie Award, all in the Best Supporting Actress category.By the late 1960s, Youn was a rising star in South Korea and won several awards for her role in Woman of Fire (1971). She retired from the spotlight for several years before returning to acting in the late 1980s. Besides Woman of Fire and Minari, Youn is known for her work in the South Korean films The Housemaid (2010), The Taste of Money (2012), The Bacchus Lady (2016), and Canola (2016). She is also known for her matriarch roles in the South Korean family drama series Men of the Bath House (1995), Be Strong Geum Soon (2005), Daughters-in-Law (2007), My Husband Got a Family (2012), and Dear My Friends (2016). In 2022, she will star in a television series Pachinko on Apple TV+.",https://en.wikipedia.org/wiki/Youn_Yuh-jung
