,country,number,item,item_id,shortform,pageid,wikipedia_summary,wikipedia_url
994,Namibia,6,Gottlieb Redecker,http://www.wikidata.org/entity/Q77806,wd:Q77806,20937769,"Gottlieb Wilhelm Eduard Redecker (30 April 1871, Otjimbingwe – 21 January 1945) was a German engineer and architect in South West Africa. He was responsible for a number of important buildings which still stand today in Namibia, particularly in Windhoek, including the national assembly building, the Tintenpalast.",https://en.wikipedia.org/wiki/Gottlieb_Redecker
999,Nepal,13,Hisila Yami,http://www.wikidata.org/entity/Q2672325,wd:Q2672325,3337484,"Hisila Yami (Nepali: हिसिला यमी), also known by her nom de guerre Parvati, is a Nepalese politician and architect. She is a Central Committee member of Naya Shakti Nepal and a former president of the All Nepal Women's Association (Revolutionary).",https://en.wikipedia.org/wiki/Hisila_Yami
1000,Netherlands,54,Rem Koolhaas,http://www.wikidata.org/entity/Q232364,wd:Q232364,25945,"Remment Lucas Koolhaas (Dutch pronunciation: [rɛm koːlɦaːs]; born 17 November 1944) is a Dutch architect, architectural theorist, urbanist and Professor in Practice of Architecture and Urban Design at the Graduate School of Design at Harvard University. He is often cited as a representative of Deconstructivism and is the author of Delirious New York: A Retroactive Manifesto for Manhattan.He is seen by some as one of the truly significant architectural thinkers and urbanists of his generation, by others as a self-important iconoclast. In 2000, Rem Koolhaas won the Pritzker Prize. In 2008, Time put him in their top 100 of The World's Most Influential People. He was elected to the American Philosophical Society in 2014.

",https://en.wikipedia.org/wiki/Rem_Koolhaas
1022,New Zealand,17,Benjamin Mountfort,http://www.wikidata.org/entity/Q202497,wd:Q202497,5517313,"Benjamin Woolfield Mountfort (13 March 1825 – 15 March 1898) was an English emigrant to New Zealand, where he became one of the country's most prominent 19th-century architects. He was instrumental in shaping the city of Christchurch's unique architectural identity and culture, and was appointed the first official Provincial Architect of the developing province of Canterbury. Heavily influenced by the Anglo-Catholic philosophy behind early Victorian architecture, he is credited with importing the Gothic revival style to New Zealand. His Gothic designs constructed in both wood and stone in the province are considered unique to New Zealand. Today, he is considered the founding architect of the province of Canterbury.",https://en.wikipedia.org/wiki/Benjamin_Mountfort
1042,Niger,5,Mariam Kamara,http://www.wikidata.org/entity/Q105565734,wd:Q105565734,67890309,"Mariam Issoufou Kamara (born April 1979, in Saint-Étienne, France) is a Nigerien architect. Her designs focus on open living spaces and make use of locally produced materials available to African communities: cement, recycled metal and raw earth.",https://en.wikipedia.org/wiki/Mariam_Kamara
1044,Nigeria,10,Nnimmo Bassey,http://www.wikidata.org/entity/Q472575,wd:Q472575,25383089,"Nnimmo Bassey (born 11 June 1958) is a Nigerian architect, environmental activist, author and poet, who chaired Friends of the Earth International from 2008 through 2012 and was executive director of Environmental Rights Action for two decades. He was one of Time magazine's Heroes of the Environment in 2009. In 2010, Nnimmo Bassey was named a Laureate of the Right Livelihood Award, and in 2012, he was awarded the Rafto Prize. He also received an honorary doctorate from the University of York, UK, in 2019. He serves on the advisory board and is Director of the Health of Mother Earth Foundation, an environmental think tank and advocacy organization.

",https://en.wikipedia.org/wiki/Nnimmo_Bassey
1063,North Korea,8,Kim Swoo-geun,http://www.wikidata.org/entity/Q497301,wd:Q497301,17143392,"Kim Swoo Geun (February 20, 1931 – June 14, 1986) was a prominent South Korean architect, educator, publisher and patron of artists. Along with architect Kim Joong Up (김중업), he is recognised as a significant contributor in the history of Korean architecture. With his support for diverse art genres of Korean culture, he was referred to as Lorenzo de Medici of Seoul by TIME in 1977.",https://en.wikipedia.org/wiki/Kim_Swoo-geun
1065,North Macedonia,9,Miroslav Grčev,http://www.wikidata.org/entity/Q6873940,wd:Q6873940,19337595,"Miroslav Grčev (Macedonian: Мирослав Грчев; born 1955) is a Macedonian architect, graphic designer, comics artist   and caricaturist. He is known for having designed the current flag of North Macedonia and a popular proposal for a new coat of arms of North Macedonia.Grčev was born in Skopje, Yugoslavia (now the capital of North Macedonia), and started to become interested in graphic design in the mid-1970s, when he worked on the design of LP records. In 1979, Grčev graduated from the Faculty of Architecture in Skopje. Today, he teaches as a professor of urban planning at the Faculty of Architecture in Skopje.
Miroslav Grčev was mayor of central Skopje municipality ""Centar"" in 1996-2000 from Social Democratic Union of Macedonia. He is one of the most ardent critics of the identity policy of ""antiquization"" and of the associated urban plan Skopje 2014, carried out by the Macedonian governments after 2006.At 26 December 2014, he promoted his collection of articles, published between 2006 and 2014, under the title „Името на злото“ (""The Name of the Evil"").",https://en.wikipedia.org/wiki/Miroslav_Gr%C4%8Dev
1077,Norway,35,Sverre Fehn,http://www.wikidata.org/entity/Q242002,wd:Q242002,1158845,"Sverre Fehn (14 August 1924 – 23 February 2009) was a Norwegian architect.

",https://en.wikipedia.org/wiki/Sverre_Fehn
1098,Pakistan,27,Fazlur Khan,http://www.wikidata.org/entity/Q62918,wd:Q62918,1286023,"Fazlur Rahman Khan (Bengali: ফজলুর রহমান খান, Fozlur Rôhman Khan; 3 April 1929 – 27 March 1982) was a Bangladeshi-American structural engineer and architect, who initiated important structural systems for skyscrapers. Considered the ""father of tubular designs"" for high-rises, Khan was also a pioneer in computer-aided design (CAD). He was the designer of the Sears Tower, since renamed Willis Tower, the tallest building in the world from 1973 until 1998 and the 100-story John Hancock Center.
A partner in the firm Skidmore, Owings & Merrill in Chicago, Khan, more than any other individual, ushered in a renaissance in skyscraper construction during the second half of the 20th century. He has been called the ""Einstein of structural engineering"" and the ""Greatest Structural Engineer of the 20th Century"" for his innovative use of structural systems that remain fundamental to modern skyscraper design and construction. In his honor, the Council on Tall Buildings and Urban Habitat established the Fazlur Khan Lifetime Achievement Medal, as one of their CTBUH Skyscraper Awards.
Although best known for skyscrapers, Khan was also an active designer of other kinds of structures, including the Hajj airport terminal, the McMath–Pierce solar telescope and several stadium structures.

",https://en.wikipedia.org/wiki/Fazlur_Rahman_Khan
1132,Panama,1,Richard Holzer,http://www.wikidata.org/entity/Q105094866,wd:Q105094866,66523600,"Richard Holzer (Vienna, Austria, 1923 – 26 January 2021) was an Austrian-born Panamanian architect, considered one of the most influential Panamanian architects.",https://en.wikipedia.org/wiki/Richard_Holzer
1133,Papua New Guinea,3,Stanley Rickard,http://www.wikidata.org/entity/Q16749826,wd:Q16749826,42472227,Stanley Noble Rickard (4 January 1883 – 21 August 1976) was a New Britain-born Australian architect active in Sydney and Los Angeles in the first half of the 20th century. His work in the Federation Bungalow style is listed on the NSW State Heritage Register.,https://en.wikipedia.org/wiki/Stanley_Rickard
1136,Paraguay,5,Félix Toranzos,http://www.wikidata.org/entity/Q5511654,wd:Q5511654,18300622,"Félix Toranzos (born October 30, 1962) is a Paraguayan artist, architect and graphic designer, considered to be one of the most conspicuous representatives of the new generation of artists in Paraguay.",https://en.wikipedia.org/wiki/F%C3%A9lix_Toranzos
1141,People's Republic of China,88,I. M. Pei,http://www.wikidata.org/entity/Q46868,wd:Q46868,15155,"Ieoh Ming Pei  ( yoh-ming-PAY; Chinese: 貝聿銘; April 26, 1917 – May 16, 2019) was a Chinese-American architect. Raised in Shanghai, Pei drew inspiration at an early age from the garden villas at Suzhou, the traditional retreat of the scholar-gentry to which his family belonged. In 1935, he moved to the United States and enrolled in the University of Pennsylvania's architecture school, but he quickly transferred to the Massachusetts Institute of Technology. He was unhappy with the focus at both schools on Beaux-Arts architecture, and spent his free time researching emerging architects, especially Le Corbusier. After graduating, he joined the Harvard Graduate School of Design (GSD) and became a friend of the Bauhaus architects Walter Gropius and Marcel Breuer. In 1948, Pei was recruited by New York City real estate magnate William Zeckendorf, for whom he worked for seven years before establishing an independent design firm in 1955, I. M. Pei & Associates. In 1966 that became I. M. Pei & Partners, and in 1989 became Pei Cobb Freed & Partners. Pei retired from full-time practice in 1990. In his retirement, he worked as an architectural consultant primarily from his sons' architectural firm Pei Partnership Architects.
Pei's first major recognition came with the Mesa Laboratory at the National Center for Atmospheric Research in Colorado (designed in 1961, and completed in 1967). His new stature led to his selection as chief architect for the John F. Kennedy Library in Massachusetts. He went on to design Dallas City Hall and the East Building of the National Gallery of Art. He returned to China for the first time in 1975 to design a hotel at Fragrant Hills, and designed Bank of China Tower, Hong Kong, a skyscraper in Hong Kong for the Bank of China fifteen years later. In the early 1980s, Pei was the focus of controversy when he designed a glass-and-steel pyramid for the Louvre in Paris. He later returned to the world of the arts by designing the Morton H. Meyerson Symphony Center in Dallas, the Miho Museum in Japan, Shigaraki, near Kyoto, and the chapel of the junior and high school: MIHO Institute of Aesthetics, the Suzhou Museum in Suzhou, Museum of Islamic Art in Qatar, and the Grand Duke Jean Museum of Modern Art, abbreviated to Mudam, in Luxembourg.
Pei won a wide variety of prizes and awards in the field of architecture, including the AIA Gold Medal in 1979, the first Praemium Imperiale for Architecture in 1989, and the Lifetime Achievement Award from the Cooper-Hewitt, National Design Museum, in 2003. In 1983, he won the Pritzker Prize, which is sometimes referred to as the Nobel Prize of architecture.",https://en.wikipedia.org/wiki/I._M._Pei
1165,Peru,10,Henri Ciriani,http://www.wikidata.org/entity/Q1605781,wd:Q1605781,21662893,"Henri (Enrique) Ciriani (born 1936) is a Peruvian architect and teacher. Ciriani was born and worked in Lima, Peru before moving to Paris in 1964. He has worked on modernist experimental living projects in the 1960s and 1970s, such as the San Felipe housing complex in Lima, Peru, and in 1980 on the Noisy II housing plan for Marne-la-Vallée. He also designed the St. Antoine Hospital kitchen building in Paris in 1985, the Museum of the Great War in Peronne in 1992, and the Archaeological Museum in Arles in 1993.",https://en.wikipedia.org/wiki/Henri_Ciriani
1177,Philippines,9,Shamcey Supsup,http://www.wikidata.org/entity/Q2642457,wd:Q2642457,31457490,"Shamcey Gurrea Supsup-Lee (born May 16, 1986) is a Filipino architect, beauty pageant titleholder and pageant director. She was crowned as Binibining Pilipinas Universe 2011. She represented her country at the Miss Universe 2011 pageant in São Paulo, Brazil where she finished as 3rd Runner-Up.In 2019, Supsup was appointed by Miss Universe Organization as national director for the Miss Universe Philippines Organization, succeeding former national director Stella Araneta of Binibining Pilipinas.",https://en.wikipedia.org/wiki/Shamcey_Supsup-Lee
1195,Poland,100,Wernher von Braun,http://www.wikidata.org/entity/Q57384,wd:Q57384,33783,"Wernher Magnus Maximilian Freiherr von Braun (23 March 1912 – 16 June 1977) was a German-American aerospace engineer and space architect. He was the leading figure in the development of rocket technology in Nazi Germany and a pioneer of rocket and space technology in the United States.While in his twenties and early thirties, von Braun worked in Nazi Germany's rocket development program. He helped design and co-developed the V-2 rocket at Peenemünde during World War II. Following the war, he was secretly moved to the United States, along with about 1,600 other German scientists, engineers, and technicians, as part of Operation Paperclip. He worked for the United States Army on an intermediate-range ballistic missile program, and he developed the rockets that launched the United States' first space satellite Explorer 1 in 1958. He worked with Walt Disney on a series of films, which popularized the idea of human space travel in the US and beyond between 1955 and 1957.In 1960, his group was assimilated into NASA, where he served as director of the newly formed Marshall Space Flight Center and as the chief architect of the Saturn V super heavy-lift launch vehicle that propelled the Apollo spacecraft to the Moon. In 1967, von Braun was inducted into the National Academy of Engineering, and in 1975, he received the National Medal of Science. 
Von Braun is widely seen as either the ""father of space travel"", ""father of rocket science""  or ""father of the American lunar program"". He advocated a human mission to Mars.",https://en.wikipedia.org/wiki/Wernher_von_Braun
1219,Portugal,41,Álvaro Siza Vieira,http://www.wikidata.org/entity/Q251365,wd:Q251365,717028,"Álvaro Joaquim de Melo Siza Vieira  (born 25 June 1933) is a Portuguese architect, and architectural educator. He is internationally known as Álvaro Siza (Portuguese pronunciation: [ˈalvɐɾu ˈsizɐ]) and in Portugal as Siza Vieira (pronounced [ˈsizɐ ˈvjɐjɾɐ]).

",https://en.wikipedia.org/wiki/%C3%81lvaro_Siza_Vieira
1239,Republic of Ireland,36,Kevin Roche,http://www.wikidata.org/entity/Q332610,wd:Q332610,53632,"Eamonn Kevin Roche  (June 14, 1922 – March 1, 2019) was an Irish-born American Pritzker Prize-winning architect. He was responsible for the design/master planning for over 200 built projects in both the U.S. and abroad. These projects include eight museums, 38 corporate headquarters, seven research facilities, performing arts centers, theaters, and campus buildings for six universities. In 1967 he created the master plan for the Metropolitan Museum of Art, and henceforth designed all of the new wings and installation of many collections including the recently reopened American and Islamic wings.
Born in Dublin and a graduate from University College Dublin, Roche went to the United States to study with Ludwig Mies van der Rohe at the Illinois Institute of Technology.  In the U.S., he became the principal designer for Eero Saarinen, and opened his own architectural firm in 1967.
Among other awards, Roche received the Pritzker in 1982, the Gold Medal Award from the American Academy of Arts and Letters in 1990, and the AIA Gold Medal in 1993.",https://en.wikipedia.org/wiki/Kevin_Roche
1260,Romania,46,Iannis Xenakis,http://www.wikidata.org/entity/Q152880,wd:Q152880,158366,"Giannis Klearchou Xenakis (also spelled for professional purposes as Yannis or Iannis Xenakis; Greek: Γιάννης ""Ιάννης"" Κλέαρχου Ξενάκης, pronounced [ˈʝanis kseˈnacis]; 29 May 1922 – 4 February 2001) was a Romanian-born Greek-French avant-garde composer, music theorist, architect, performance director and engineer. After 1947, he fled Greece, becoming a naturalised citizen of France eighteen years later. Xenakis pioneered the use of mathematical models in music such as applications of set theory, stochastic processes and game theory and was also an important influence on the development of electronic and computer music. He integrated music with architecture, designing music for pre-existing spaces, and designing spaces to be integrated with specific music compositions and performances.
Among his most important works are Metastaseis (1953–54) for orchestra, which introduced independent parts for every musician of the orchestra; percussion works such as Psappha (1975) and Pléïades (1979); compositions that introduced spatialization by dispersing musicians among the audience, such as Terretektorh (1966); electronic works created using Xenakis's UPIC system; and the massive multimedia performances Xenakis called polytopes, that were a summa of his interests and skills. Among the numerous theoretical writings he authored, the book Formalized Music: Thought and Mathematics in Composition (French edition 1963, English translation 1971) is regarded as one of his most important. As an architect, Xenakis is primarily known for his early work under Le Corbusier: the priory of Sainte-Marie de La Tourette, on which the two collaborated, and the Philips Pavilion at Expo 58, which Xenakis designed by himself.",https://en.wikipedia.org/wiki/Iannis_Xenakis
1296,Russia,31,Zurab Tsereteli,http://www.wikidata.org/entity/Q1358703,wd:Q1358703,6870129,"Zurab Konstantinovich Tsereteli (Georgian: ზურაბ კონსტანტინეს ძე წერეთელი, Russian: Зураб Константинович Церетели; born 4 January 1934) is a Georgian-Russian painter, sculptor and architect known for large-scale and at times controversial monuments. Tsereteli has served as the President of the Russian Academy of Arts since 1997.",https://en.wikipedia.org/wiki/Zurab_Tsereteli
1310,San Marino,10,Giovanni Battista Belluzzi,http://www.wikidata.org/entity/Q762531,wd:Q762531,14351101,"Giovanni Battista Belluzzi (1506–1554), also known as Giovanni Battista di Bartolomeo Bellucci and as Il Sanmarino, was a Sammarinese architect and military engineer. He was born in San Marino on September 27, 1506 and at 18 years of age was sent by his father to Bologna, to learn commerce under Bastiano di Ronco, a merchant of the Guild of Wool. 
After two years, he returned to San Marino, where he set up a wool business of his own.  His first wife, Cagli, died shortly after they were married.  His second wife was the daughter of Girolamo Genga (1467–1551).  The couple lived with Girolamo Genga, from whom Giovanni learned architecture.  In 1541, his second wife died, leaving Giovanni to raise two sons.  In 1543, Giovanni entered into the service of Cosimo I de' Medici, Grand Duke of Tuscany, as an engineer.  He designed fortifications for Florence, Pistoia, Pisa and San Miniato and also wrote a book on military architecture.  He was wounded in the siege of Montalcino and was killed by enemy fire in a fortress of Aiuola.",https://en.wikipedia.org/wiki/Giovanni_Battista_Belluzzi
1311,Saudi Arabia,3,Jamel Akbar,http://www.wikidata.org/entity/Q6127925,wd:Q6127925,16838475,"Jamel Akbar (born 26 May 1954, Taif, Hijaz,  Saudi Arabia) is an architect, educator, and theorist. His theoretical contributions are in the field of the built environment. His major contribution is in measuring the quality of the built environment through concepts such as responsibility, control, ownership and interventions. His work concentrates on humans' and properties’ rights among individuals, institutions and the State. By comparing such rights in different cultures he developed conclusions concerning economic and social settings and their ramifications on the quality of the built environment.",https://en.wikipedia.org/wiki/Jamel_Akbar
1319,Serbia,16,Bogdan Bogdanović,http://www.wikidata.org/entity/Q700592,wd:Q700592,22786566,"Bogdan Bogdanović (Serbian Cyrillic: Богдан Богдановић; 20 August 1922 – 18 June 2010) was a Serbian and Yugoslav architect, urbanist and essayist. He taught architecture at the University of Belgrade Faculty of Architecture, where he also served as dean. Bogdanović wrote numerous articles about urbanism, especially about its mythic and symbolic aspects, some of which appeared in international journals such as El País, Die Zeit, and others. He was also involved in politics, as a Yugoslav Partisan in World War II, later as mayor of Belgrade. When Slobodan Milošević rose to power and nationalism gained ground in Yugoslavia, Bogdanović became a dissident.Bogdanović is best known for designing monuments and memorials commemorating victims and resistance fighters of World War II built all over Yugoslavia from the early 1950s to the 1980s. In particular, the monumental concrete sculpture titled Stone Flower near the site of Jasenovac concentration camp gained international attention.",https://en.wikipedia.org/wiki/Bogdan_Bogdanovi%C4%87_(architect)
1343,Singapore,28,Ong Teng Cheong,http://www.wikidata.org/entity/Q543664,wd:Q543664,505404,"Ong Teng Cheong  (Chinese: 王鼎昌; pinyin: Wáng Dǐngchāng; 22 January 1936 – 8 February 2002) was a Singaporean politician and architect who served as the fifth President of Singapore between 1993 and 1999. Prior to his presidency, he was the country's deputy prime minister.
Ong was formerly a member of the governing People's Action Party (PAP) and was the Chairman of the People's Action Party from 5 January 1981 to 1 September 1993, after Toh Chin Chye stepped down from the position. He was the member of parliament for Kim Keat Single Member Constituency (SMC) from 1972 to 1991, Toa Payoh Group Representation Constituency (GRC) from 1991 to 1993. He was also the Minister for the Ministry of Manpower from 1981 to 1983 and the Ministry of Information, Communications and the Arts from 1978 to 1981. He became the 4th Deputy Prime Minister of Singapore from 2 January 1985 till 1 September 1993 when former deputy prime minister S. Rajaratnam stepped down from position serving under the then prime minister Goh Chok Tong.
Ong resigned from PAP and his political positions to participate in the 1993 Singaporean presidential election where he was the winning candidate and became the fifth president of Singapore. Ong has decided not to run for a second term as president in 1999 partially due to the death of his wife.On 8 February 2002, at the age of 66, Ong died in his sleep from lymphoma at the Singapore General Hospital.",https://en.wikipedia.org/wiki/Ong_Teng_Cheong
1359,Slovakia,16,László Hudec,http://www.wikidata.org/entity/Q770930,wd:Q770930,7565482,"László Ede Hudec or Ladislav Hudec (Hungarian: Hugyecz László Ede) (Besztercebánya, Austria-Hungary (now Banská Bystrica, Slovakia) January 8, 1893 – Berkeley, October 26, 1958), Chinese name Wu Dake (Chinese: 鄔達克), was a Hungarian–Slovak architect active in Shanghai from 1918 to 1945 and responsible for some of that city's most notable structures. Major works include the Park Hotel, the Grand Theatre, the Joint Savings and Loan building, the combined Baptist Publications and Christian Literature Society buildings, and the post-modern ""Green House"". Hudec's style evolved during his active period, from the eclectic neo-classicism popular in the early 20th century to art deco and modern buildings toward the later part of his career. Although some of his buildings have been lost in the intervening decades, many survive.",https://en.wikipedia.org/wiki/L%C3%A1szl%C3%B3_Hudec
1376,Slovenia,65,Marcus Vipsanius Agrippa,http://www.wikidata.org/entity/Q48174,wd:Q48174,19747,"Marcus Vipsanius Agrippa (; 63 BC  – 12 BC) was a Roman general, statesman, and architect who was a close friend, son-in-law, and lieutenant to the Roman emperor Augustus. He was responsible for the construction of some of the most notable buildings in history, including the original Pantheon, and is well known for his important military victories, notably the Battle of Actium in 31 BC against the forces of Mark Antony and Cleopatra. 
Born to a plebeian family of equestrian rank in 63 BC, in an uncertain location in Roman Italy, he met the future emperor Augustus, then known as Octavian, at Apollonia, in Illyria. Following the assassination of Octavian's great-uncle Julius Caesar in 44 BC, Octavian returned to Italy. Around this time, he was elected tribune of the plebs. Agrippa served as a military commander, fighting alongside Octavian and Caesar's former general and right-hand man Mark Antony in the Battle of Philippi. In 40 BC, he became the Praetor Urbanus (Urban Prefect) of Rome, managing the administration of the city. He played a major role in the Second Triumvirate's war against Lucius Antonius and Fulvia, respectively the brother and wife of Mark Antony. In 39 or 38 BC, Agrippa was appointed governor of Transalpine Gaul. In 38 BC he put down a rising of the Aquitanians and fought the Germanic tribes. He was consul for 37 BC, well below the usual minimum age of 43, to oversee the preparations for warfare against Sextus Pompey, who had cut off grain shipments to Rome.
Agrippa defeated Pompey in the battles of Mylae and Naulochus in 36 BC. In 33 BC, he served as Curule aedile. Agrippa commanded the victorious Octavian's fleet at the Battle of Actium in 31 BC. Following the victory at Actium, Octavian became emperor, and took the title of Augustus, while Agrippa remained as his close friend and lieutenant. Agrippa assisted Augustus in making Rome ""a city of marble."" Agrippa renovated aqueducts to provide Roman citizens from every social class access to the highest quality public services, and was responsible for the creation of many baths, porticoes, and gardens. He was also awarded powers almost as great as those of Augustus. He had veto power over the acts of the Senate and the power to present laws for approval by the People. He died in 12 BC at the age of 50–51. Augustus honored his memory with a magnificent funeral and spent over a month in mourning. His remains were placed in Augustus' own mausoleum.
Agrippa was also known as a writer, especially on geography. Under his supervision, Julius Caesar's design of having a complete survey of the empire made was accomplished. From the materials at hand he constructed a circular chart, which was engraved on marble by Augustus and afterwards placed in the colonnade built by his sister Vipsania Polla. Agrippa was also husband to Julia the Elder (who had later married the second Emperor Tiberius), and was the maternal grandfather of Caligula and the maternal great-grandfather of the Emperor Nero.",https://en.wikipedia.org/wiki/Marcus_Vipsanius_Agrippa
1390,Slovenia,9,Bojan Stupica,http://www.wikidata.org/entity/Q1260371,wd:Q1260371,51041369,error,error
1399,Somalia,1,Omar Degan,http://www.wikidata.org/entity/Q103839853,wd:Q103839853,68200538,"Omar Degan (born June, 1990) is an Italian-born Somali architect.",https://en.wikipedia.org/wiki/Omar_Degan
1401,South Africa,13,Alexander F. I. Forbes,http://www.wikidata.org/entity/Q1169750,wd:Q1169750,764614,"Alexander Forbes Irvine Forbes (13 April 1871 – 15 May 1959) was a South African astronomer, architect and artist, best known for his discovery of periodic comets.

",https://en.wikipedia.org/wiki/Alexander_F._I._Forbes
1420,South Korea,39,Itō Toyoo,http://www.wikidata.org/entity/Q333585,wd:Q333585,1265795,"Toyo Ito (伊東 豊雄, Itō Toyō, born 1 June 1941) is a Japanese architect known for creating conceptual architecture, in which he seeks to simultaneously express the physical and virtual worlds. He is a leading exponent of architecture that addresses the contemporary notion of a ""simulated"" city, and has been called ""one of the world's most innovative and influential architects.""In 2013, Ito was awarded the Pritzker Prize, one of architecture's most prestigious prizes. He was a likely front-runner for the Pritzker Prize for the previous 10 years. A recent trend has seen less experienced and well-known winners, for example Chinese architect Wang Shu in 2012, and the award to Toyo Ito is seen as recognition of a lifetime's achievement in architecture.",https://en.wikipedia.org/wiki/Toyo_Ito
1431,Spain,120,Antoni Gaudí,http://www.wikidata.org/entity/Q25328,wd:Q25328,31566384,"Antoni Gaudí i Cornet (; Catalan: [ənˈtɔni ɣəwˈði]; 25 June 1852 – 10 June 1926) was a Catalan architect from Spain known as the greatest exponent of Catalan Modernism. Gaudí's works have a highly individualized, sui generis style. Most are located in Barcelona, including his main work, the church of the Sagrada Família.
Gaudí's work was influenced by his passions in life: architecture, nature, and religion. He considered every detail of his creations and integrated into his architecture such crafts as ceramics, stained glass, wrought ironwork forging and carpentry. He also introduced new techniques in the treatment of materials, such as trencadís which used waste ceramic pieces.
Under the influence of neo-Gothic art and Oriental techniques, Gaudí became part of the Modernista movement which was reaching its peak in the late 19th and early 20th centuries. His work transcended mainstream Modernisme, culminating in an organic style inspired by natural forms. Gaudí rarely drew detailed plans of his works, instead preferring to create them as three-dimensional scale models and moulding the details as he conceived them.
Gaudí's work enjoys global popularity and continuing admiration and study by architects. His masterpiece, the still-incomplete Sagrada Família, is the most-visited monument in Spain. Between 1984 and 2005, seven of his works were declared World Heritage Sites by UNESCO. Gaudí's Roman Catholic faith intensified during his life and religious images appear in many of his works. This earned him the nickname ""God's Architect"" and led to calls for his beatification.",https://en.wikipedia.org/wiki/Antoni_Gaud%C3%AD
1453,Sri Lanka,12,Geoffrey Bawa,http://www.wikidata.org/entity/Q3610582,wd:Q3610582,14329056,"Deshamanya Geoffrey Manning Bawa, FRIBA (23 July 1919 – 27 May 2003) was a Sri Lankan architect. He was among the most influential Asian architects of his generation. He is the principal force behind what is today known globally as ""tropical modernism"".",https://en.wikipedia.org/wiki/Geoffrey_Bawa
1467,State of Palestine,16,Suad Amiry,http://www.wikidata.org/entity/Q770062,wd:Q770062,4307951,Suad Amiry (Arabic: سعاد العامري) (born 1951) is an author and architect living in the West Bank city of Ramallah.,https://en.wikipedia.org/wiki/Suad_Amiry
1474,Sweden,54,Raoul Wallenberg,http://www.wikidata.org/entity/Q152850,wd:Q152850,171653,"Raoul Gustaf Wallenberg (4 August 1912 – disappeared 17 January 1945) was a Swedish architect, businessman, diplomat, and humanitarian. He saved thousands of Jews in German-occupied Hungary during the Holocaust from German Nazis and Hungarian fascists during the later stages of World War II. While serving as Sweden's special envoy in Budapest between July and December 1944, Wallenberg issued protective passports and sheltered Jews in buildings designated as Swedish territory.On 17 January 1945, during the Siege of Budapest by the Red Army, Wallenberg was detained by SMERSH on suspicion of espionage and subsequently disappeared. He was later reported to have died on 17 July 1947 while imprisoned in the Lubyanka, the prison at the headquarters of the KGB secret police in Moscow. The motives behind Wallenberg's arrest and imprisonment by the Soviet government, along with questions surrounding the circumstances of his death and his ties to US intelligence, remain mysterious and are the subject of continued speculation.As a result of his successful efforts to rescue Hungarian Jews, Wallenberg has been the subject of numerous humanitarian honours in the decades following his presumed death. In 1981, US Congressman Tom Lantos, one of those saved by Wallenberg, sponsored a bill making Wallenberg an honorary citizen of the United States, the second person ever to receive this honour.  Wallenberg is also an honorary citizen of Canada, Hungary, Australia, United Kingdom and Israel. Israel has designated Wallenberg one of the Righteous Among the Nations. Numerous monuments have been dedicated to him, and streets have been named after him throughout the world. The Raoul Wallenberg Committee of the United States was created in 1981 to ""perpetuate the humanitarian ideals and the nonviolent courage of Raoul Wallenberg."" It gives the Raoul Wallenberg Award annually to recognize persons who carry out those goals. He was awarded a Congressional Gold Medal by the United States Congress ""in recognition of his achievements and heroic actions during the Holocaust.""Although some have claimed that Wallenberg rescued as many as 100,000 Jews, historians consider that figure to be an exaggeration and the actual number of people rescued to be fewer.",https://en.wikipedia.org/wiki/Raoul_Wallenberg
1493,Switzerland,170,Le Corbusier,http://www.wikidata.org/entity/Q4724,wd:Q4724,17900,"Charles-Édouard Jeanneret (6 October 1887 – 27 August 1965), known as Le Corbusier (UK:  lə kor-BEW-zee-ay, US:  lə KOR-boo-ZYAY, -⁠SYAY, French: [lə kɔʁbyzje]; roughly, ""the crow-like one""), was a Swiss-French architect, designer, painter, urban planner, writer, and one of the pioneers of what is now regarded as modern architecture. He was born in Switzerland and became a French citizen in 1930. His career spanned five decades, and he designed buildings in Europe, Japan, India, and North and South America.
Dedicated to providing better living conditions for the residents of crowded cities, Le Corbusier was influential in urban planning, and was a founding member of the Congrès International d'Architecture Moderne (CIAM). Le Corbusier prepared the master plan for the city of Chandigarh in India, and contributed specific designs for several buildings there, especially the government buildings.
On 17 July 2016, seventeen projects by Le Corbusier in seven countries were inscribed in the list of UNESCO World Heritage Sites as The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement.Le Corbusier remains a controversial figure. Some of his urban planning ideas have been criticized for their indifference to pre-existing cultural sites, societal expression and equity, and his ties with fascism, antisemitism and the dictator Benito Mussolini have resulted in some continuing contention.",https://en.wikipedia.org/wiki/Le_Corbusier
1515,Syria,45,Apollodorus of Damascus,http://www.wikidata.org/entity/Q189375,wd:Q189375,1568634,"Apollodorus of Damascus (Ancient Greek: Ἀπολλόδωρος ὁ Δαμασκηνός) was a Nabataean architect and engineer from Damascus, Roman Syria, who flourished during the 2nd century AD. As an engineer he authored several technical treatises, and his massive architectural output gained him immense popularity during his time. He is one of the few architects whose name survives from antiquity, and is credited with introducing several Eastern innovations to the Roman Imperial style, such as making the dome a standard.",https://en.wikipedia.org/wiki/Apollodorus_of_Damascus
