,Unnamed: 0,country,number,item,item_id,shortform,pageid_x,wikidata_description_x,pageid_y,wikidata_description_y,wikipedia_summary,wikipedia_url
81,1307,Mauritania,3,Naha Mint Seyyidi,http://www.wikidata.org/entity/Q2375311,wd:Q2375311,65808180,Mauritanian journalist,65808180,Mauritanian journalist,Naha Mint Mohamed Lemine Ould Seyyidi is a Mauritanian journalist. She is considered the first woman to work in media in Mauritania.,https://en.wikipedia.org/wiki/Naha_Mint_Seyyidi
82,1317,Mauritius,3,Marcel Cabon,http://www.wikidata.org/entity/Q3288755,wd:Q3288755,61201048,Mauritian journalist (1912-1972),61201048,Mauritian journalist (1912-1972),"Marcel Cabon (born, Jacques Marsèle) (February 29, 1912 at Curepipe – January 31, 1972) was a writer, journalist, and poet.

",https://en.wikipedia.org/wiki/Marcel_Cabon
83,1322,Mexico,33,Elena Poniatowska,http://www.wikidata.org/entity/Q261397,wd:Q261397,2405983,Mexican polish journalist and writer,2405983,Mexican polish journalist and writer,"Hélène Elizabeth Louise Amélie Paula Dolores Poniatowska Amor (born May 19, 1932), known professionally as Elena Poniatowska (audio ) is a French-born Mexican journalist and author, specializing in works on social and political issues focused on those considered to be disenfranchised especially women and the poor. She was born in Paris to upper-class parents, including her mother whose family fled Mexico during the Mexican Revolution. She left France for Mexico when she was ten to escape the Second World War. When she was eighteen and without a university education, she began writing for the newspaper Excélsior, doing interviews and society columns. Despite the lack of opportunity for women from the 1950s to the 1970s, she wrote about social and political issues in newspapers, books in both fiction and nonfiction form. Her best known work is La noche de Tlatelolco (The night of Tlatelolco, the English translation was entitled ""Massacre in Mexico"") about the repression of the 1968 student protests in Mexico City. Due to her left wing views, she has been nicknamed ""the Red Princess"". She is considered to be ""Mexico's grande dame of letters"" and is still an active writer.",https://en.wikipedia.org/wiki/Elena_Poniatowska
84,1340,Moldova,18,Natalia Morari,http://www.wikidata.org/entity/Q468198,wd:Q468198,15110996,Moldovan journalist,15110996,Moldovan journalist,"Natalia Morari (Romanian: Natalia Morari, Russian: Наталья Григорьевна Морарь; born 12 January 1984 in Kotovsk, Moldavian SSR) is a Moldovan investigative journalist for the Russian magazine New Times. She was a permanent resident of Russia until she was expelled in December 2007, presumably for exposing corruption in Russia. Born in Moldova, she moved to Russia in 2002 to study sociology at the Moscow State University, which she graduated in 2007. Morari applied for Russian citizenship, which she was supposed to get in April 2008, but the citizenship was denied citing national security reasons.She has a son named Rem, who was born on 12 April 2021.",https://en.wikipedia.org/wiki/Natalia_Morar
85,1359,Monaco,29,Charlotte Casiraghi,http://www.wikidata.org/entity/Q853781,wd:Q853781,840061,"Monegasque equestrian and journalist; second child of Caroline, Princess of Hanover, and Stefano Casiraghi",840061,"Monegasque equestrian and journalist; second child of Caroline, Princess of Hanover, and Stefano Casiraghi","Charlotte Marie Pomeline Casiraghi (born 3 August 1986) is a Monégasque model, socialite, writer, editor, equestrian, journalist, film producer, and humanitarian. She is the second child and only daughter of Caroline, Princess of Hanover, and Stefano Casiraghi, an Italian industrialist. She is eleventh in line to the throne of Monaco. Her maternal grandparents were Rainier III, Prince of Monaco, and American actress Grace Kelly. She is named after her maternal great-grandmother, Princess Charlotte, Duchess of Valentinois.",https://en.wikipedia.org/wiki/Charlotte_Casiraghi
86,1366,Mongolia,5,Bolor-Erdene Khaltar,http://www.wikidata.org/entity/Q71943140,wd:Q71943140,62172884,Mongol journalist,62172884,Mongol journalist,"Bolor-Erdene Khaltar (born August 15, 1975 in Ulaanbaatar, Mongolia) is a Mongolian author and journalist. She studied at the National University of Mongolia during 1995 and graduated from the journalism department of the College of Literature in 2000.After graduation she started working at  newspapers such as ""Public Law"", ""Today"", ""The Word"", ""News of the Century"" and the agency ""Irmuun"". She is a freelance journalist and writer.She received the top literary prize of Mongolia ""The Golden Feather"" in 2009, with her book entitled You and me (psychological stories) and was then awarded for her book Khishigt for children in 2011. In 2019, her novella for youth Khishigt was published in France with the revised title Khishigt Mongol.",https://en.wikipedia.org/wiki/Bolor-Erdene_Khaltar
87,1377,Montenegro,7,Jelena Đurović,http://www.wikidata.org/entity/Q1563062,wd:Q1563062,22537327,Serbian-born montenegrin writer and journalist,22537327,Serbian-born montenegrin writer and journalist,"Jelena Djurovic (Serbo - Croatian: Jelena Đurović; born 13 July 1973) is a Montenegrin journalist, writer and political activist of a Jewish-Montenegrin origin based in Belgrade, Serbia. Jelena was a founder and Vice President of the Jewish Community of Montenegro. Currently, she is a Chairwoman of OJC SEE and member of the Board of the Montenegrin national council in Belgrade, Serbia. As a journalist, she works as film and TV critic.",https://en.wikipedia.org/wiki/Jelena_%C4%90urovi%C4%87
88,1388,Morocco,33,Leïla Slimani,http://www.wikidata.org/entity/Q18173445,wd:Q18173445,52180484,French-Moroccan writer and journalist,52180484,French-Moroccan writer and journalist,Leïla Slimani (born 3 October 1981) is a Franco-Moroccan writer and journalist. She is also a French diplomat in her capacity as the personal representative of the French president Emmanuel Macron to the Organisation internationale de la Francophonie. In 2016 she was awarded the Prix Goncourt for her novel Chanson douce.,https://en.wikipedia.org/wiki/Le%C3%AFla_Slimani
89,1411,Mozambique,10,Carlos Cardoso,http://www.wikidata.org/entity/Q968260,wd:Q968260,4895017,Mozambican journalist (1951-2000),4895017,Mozambican journalist (1951-2000),Carlos Cardoso (1951 – 22 November 2000) was a Mozambican journalist. His murder in 2000 followed his newspaper's investigation into corruption in the privatisation of Mozambique's biggest bank.,https://en.wikipedia.org/wiki/Carlos_Cardoso_(journalist)
90,1428,Myanmar,12,Ludu Daw Amar,http://www.wikidata.org/entity/Q4357487,wd:Q4357487,9761470,Burmese writer and journalist,9761470,Burmese writer and journalist,"Ludu Daw Amar (also Ludu Daw Ah Mar; Burmese: လူထုဒေါ်အမာ, pronounced [lùdṵ dɔ̀ ʔəmà]; 29 November 1915 – 7 April 2008) was a well known and respected leading dissident writer and journalist in Mandalay, Burma. She was married to fellow writer and journalist Ludu U Hla  and was the mother of popular writer Nyi Pu Lay. She is best known for her outspoken anti-government views and radical left wing journalism besides her outstanding work on traditional Burmese arts, theatre, dance and music, and several works of translation from English, both fiction and non-fiction.",https://en.wikipedia.org/wiki/Ludu_Daw_Amar
91,1445,Namibia,8,Gwen Lister,http://www.wikidata.org/entity/Q540913,wd:Q540913,11138988,Namibian journalist,11138988,Namibian journalist,"Gwen Lister (born 5 December 1953 in East London, South Africa) is a Namibian journalist, publisher, anti-apartheid  and press freedom activist.",https://en.wikipedia.org/wiki/Gwen_Lister
92,1461,Nepal,6,Kiran Chetry,http://www.wikidata.org/entity/Q166178,wd:Q166178,1892441,Former American television broadcast journalist,1892441,Former American television broadcast journalist,"Kiran Carrie Chetry (Nepali: किरण क्षेत्री, born August 26, 1974) is a former  Nepali American television broadcast journalist who, until 2011, was a cable news anchor for CNN's American Morning. From 2001 to 2007 she reported—and then anchored—cable news at Fox News.",https://en.wikipedia.org/wiki/Kiran_Chetry
93,1486,Netherlands,25,Tim Krabbé,http://www.wikidata.org/entity/Q352975,wd:Q352975,5195827,Dutch journalist and novelist,5195827,Dutch journalist and novelist,"Tim Krabbé (born 13 April 1943) is a Dutch journalist, novelist and chess player.
Krabbé was born in Amsterdam. His writing has appeared in most major periodicals in the Netherlands. Once a competitive cyclist, he is known to Dutch readers for his novel De Renner (The Rider), first published in 1978 and translated into English in 2002, of which The Guardian's Matt Seaton wrote: ""Nothing better is ever likely to be written on the subjective experience of cycle-racing"". English readers know him primarily for The Vanishing (Dutch: Spoorloos, literally: ""Traceless"" or ""Without a Trace""), the translation of his 1984 novel Het Gouden Ei (The Golden Egg), which was made into an acclaimed 1988 Dutch film for which Krabbé co-wrote a script. A poorly received American remake was made in 1993. In 1997 he published De grot, translated as The Cave and published in the U.S. in 2000. In 2009, he wrote the ""Boekenweekgeschenk"", called Een Tafel vol Vlinders.
Krabbé is a strong chess player who competed in two Dutch Chess Championships in 1967 and 1971. He maintains a chess website, and is renowned for his writings on the subject, in particular on chess problems; for instance, one of his publications is devoted to the Babson task.
Krabbé once authored a chess puzzle which featured a rook castling vertically (see joke chess problem), before this move was specifically disallowed. His FIDE rating is 2274.[1]
His father was the painter Maarten Krabbé (1908–2005) and his mother the Jewish film translator Margreet Reiss. He is the brother of actor Jeroen Krabbé and the multimedia artist/designer Mirko Krabbé, and the uncle of Martijn Krabbé, a Dutch media personality.",https://en.wikipedia.org/wiki/Tim_Krabb%C3%A9
94,1498,New Zealand,18,Peter Arnett,http://www.wikidata.org/entity/Q142025,wd:Q142025,204063,journalist,204063,journalist,"Peter Gregg Arnett  (born 13 November 1934) is a New Zealand-born American journalist. He is known for his coverage of the Vietnam War and the Gulf War. He was awarded the 1966 Pulitzer Prize in International Reporting for his work in Vietnam from 1962 to 1965, mostly reporting for the Associated Press.
Arnett also worked for National Geographic magazine, and later for various television networks, most notably for nearly two decades at CNN.  Arnett published a memoir, Live from the Battlefield: From Vietnam to Baghdad, 35 Years in the World's War Zones (1994). In March 1997, Arnett interviewed Osama bin Laden, leader of Al-Qaeda. The journalism school at the Southern Institute of Technology in New Zealand was named for Arnett.",https://en.wikipedia.org/wiki/Peter_Arnett
95,1522,Nicaragua,8,Pedro Joaquín Chamorro Cardenal,http://www.wikidata.org/entity/Q706743,wd:Q706743,1169631,Nicaraguan journalist (1924-1978),1169631,Nicaraguan journalist (1924-1978),"Pedro Joaquín Chamorro Cardenal (23 September 1924 – 10 January 1978) was a Nicaraguan journalist and publisher. He was the editor of La Prensa, the only significant opposition newspaper to the long rule of the Somoza family.  He is a 1977 laureate of the Maria Moors Cabot Prize of Columbia University in New York. He married Violeta Barrios de Chamorro, who later went on to become President of Nicaragua (1990-1996). In 1978, he was shot to death, one of the precipitating events of the overthrow of the Somoza regime the following year.",https://en.wikipedia.org/wiki/Pedro_Joaqu%C3%ADn_Chamorro_Cardenal
96,1535,Niger,8,Rahmatou Keïta,http://www.wikidata.org/entity/Q3417580,wd:Q3417580,58957593,Nigerien film director and journalist,58957593,Nigerien film director and journalist,"Rahmatou Keïta is a Nigerien journalist, writer, and film director, whose film career began in 1990. She won the prestigious 7 d'or for L'assiette anglaise,(2005), the Sojourner Truth Award for Al’lèèssi…, her first feature film.",https://en.wikipedia.org/wiki/Rahmatou_Ke%C3%AFta
97,1542,Nigeria,12,Isioma Daniel,http://www.wikidata.org/entity/Q3802514,wd:Q3802514,12363167,Nigerian journalist,12363167,Nigerian journalist,Isioma Nkemdilim Nkiruka Daniel (born 1981) is a Nigerian journalist whose 2002 newspaper article comment involving the Islamic prophet Muhammad sparked the Miss World riots and caused a fatwa to be issued on her life. She ultimately had to flee the country because of jihadis.,https://en.wikipedia.org/wiki/Isioma_Daniel
98,1566,North Korea,20,Kim Il-yeop,http://www.wikidata.org/entity/Q46259,wd:Q46259,37364751,"Korean writer, poet, journalist, Buddhist nun and activist",37364751,"Korean writer, poet, journalist, Buddhist nun and activist","Kim Il-yeop or Kim Iryŏp, (hanja: 金一葉; 28 April 1896 – 28 May 1971) was a Korean writer, journalist, feminist activist, and Buddhist nun. Her given name was Kim Wonju (hanja: 金元周). Her courtesy and dharma name was Iryeop (Korean: hanja; Hanja: 一葉).",https://en.wikipedia.org/wiki/Kim_Iryeop
99,1584,North Macedonia,20,Milka Babović,http://www.wikidata.org/entity/Q12636953,wd:Q12636953,41563936,Yugoslavian athlete and journalist,41563936,Yugoslavian athlete and journalist,"Milena ""Milka"" Babović (27 October 1928 – 26 December 2020) was a Croatian sprint and hurdles runner and journalist. She won numerous sprinting events in the former Yugoslavia, and was selected the best athlete several times. She also had a noted career as a sports journalist and editor in television.",https://en.wikipedia.org/wiki/Milka_Babovi%C4%87
100,1609,Norway,29,Linn Ullmann,http://www.wikidata.org/entity/Q256738,wd:Q256738,354281,Norwegian writer and journalist,354281,Norwegian writer and journalist,"Karin Beate ""Linn"" Ullmann (born 9 August 1966) is a Norwegian author and journalist. A prominent literary critic, she also writes a column for Norway's leading morning newspaper and has published six novels.",https://en.wikipedia.org/wiki/Linn_Ullmann
101,1627,Pakistan,30,Khushwant Singh,http://www.wikidata.org/entity/Q1740716,wd:Q1740716,1005844,Indian novelist and journalist (1915-2014),1005844,Indian novelist and journalist (1915-2014),"Khushwant Singh (born Khushal Singh, 2 February 1915 – 20 March 2014) was an Indian author, lawyer, diplomat, journalist and politician. His experience in the 1947 Partition of India inspired him to write Train to Pakistan in 1956 (made into film in 1998), which became his most well-known novel.Born in Punjab, Khushwant Singh was educated in Modern School, New Delhi, St. Stephen's College, and graduated from Government College, Lahore. He studied at King's College London and was awarded an LL.B. from University of London. He was called to the bar at the London Inner Temple. After working as a lawyer in Lahore High Court for eight years, he joined the Indian Foreign Service upon the Independence of India from British Empire in 1947. He was appointed journalist in the All India Radio in 1951, and then moved to the Department of Mass Communications of UNESCO at Paris in 1956. These last two careers encouraged him to pursue a literary career. As a writer, he was best known for his trenchant secularism, humour, sarcasm and an abiding love of poetry. His comparisons of social and behavioural characteristics of Westerners and Indians are laced with acid wit. He served as the editor of several literary and news magazines, as well as two newspapers, through the 1970s and 1980s. Between 1980-1986 he served as Member of Parliament in Rajya Sabha, the upper house of the Parliament of India.
Khushwant Singh was awarded the Padma Bhushan in 1974; however, he returned the award in 1984 in protest against Operation Blue Star in which the Indian Army raided Amritsar. In 2007 he was awarded the Padma Vibhushan, the second-highest civilian award in India.",https://en.wikipedia.org/wiki/Khushwant_Singh
102,1641,Panama,9,Roberto Arias,http://www.wikidata.org/entity/Q2040215,wd:Q2040215,17677410,Panamanian journalist,17677410,Panamanian journalist,"Roberto Emilio Arias (26 October 1918 – 22 November 1989), known as ""Tito"", was a Panamanian international lawyer, diplomat and journalist who was the husband of ballerina Dame Margot Fonteyn. Arias was from a prominent Panamanian political family, whose members had reached the Presidency four times; amongst them his father Harmodio Arias.",https://en.wikipedia.org/wiki/Roberto_Arias
103,1656,Papua New Guinea,3,Tova O'Brien,http://www.wikidata.org/entity/Q92208853,wd:Q92208853,64403322,New Zealand journalist,64403322,New Zealand journalist,Tova O'Brien (born 1982/1983) is a New Zealand political journalist. She leads the team of political reporters for Newshub.,https://en.wikipedia.org/wiki/Tova_O%27Brien
104,1676,Paraguay,5,Natalicio de María Talavera,http://www.wikidata.org/entity/Q10335646,wd:Q10335646,68285037,Paraguayan journalist and soldier in the War of the Triple Alliance,68285037,Paraguayan journalist and soldier in the War of the Triple Alliance,"Natalicio Talavera (1839–1867) was a Paraguayan poet and journalist. Talavera became known as one of the first post-independence Paraguayan poets. He died of disease while serving in the Paraguayan War, which he covered extensively.",https://en.wikipedia.org/wiki/Natalicio_Talavera_(poet)
105,1692,People's Republic of China,25,John Hersey,http://www.wikidata.org/entity/Q535812,wd:Q535812,212464,"American journalist, novelist, professor (1914-1993)",212464,"American journalist, novelist, professor (1914-1993)","John Richard Hersey (June 17, 1914 – March 24, 1993) was an American writer and journalist.  He is considered one of the earliest practitioners of the so-called New Journalism, in which storytelling techniques of fiction are adapted to non-fiction reportage. Hersey's account of the aftermath of the atomic bomb dropped on Hiroshima, Japan, was adjudged the finest piece of American journalism of the 20th century by a 36-member panel associated with New York University's journalism department.",https://en.wikipedia.org/wiki/John_Hersey
106,1705,Peru,26,Ciro Alegría,http://www.wikidata.org/entity/Q468003,wd:Q468003,1322419,"Peruvian writer, journalist and politician (1909-1967)",1322419,"Peruvian writer, journalist and politician (1909-1967)","Ciro Alegría Bazán (November 4, 1909 – February 17, 1967) was a Peruvian journalist, politician, and novelist.",https://en.wikipedia.org/wiki/Ciro_Alegr%C3%ADa
107,1719,Philippines,54,Maria Ressa,http://www.wikidata.org/entity/Q6761526,wd:Q6761526,4341882,Filipina journalist (1963-),4341882,Filipina journalist (1963-),"Maria Angelita Ressa (Tagalog pronunciation: [ˈɾesa], born October 2, 1963) is a Filipino-American journalist and author, the co-founder and CEO of Rappler, and the first Filipino recipient of the Nobel Peace Prize. She previously spent nearly two decades working as a lead investigative reporter in Southeast Asia for CNN. 
Ressa was included in Time's Person of the Year 2018 as one of a collection of journalists from around the world combating fake news. On February 13, 2019, she was arrested by Philippine authorities for cyberlibel due to accusations that Rappler published a false news story concerning businessman Wilfredo Keng. On June 15, 2020, a court in Manila found her guilty of cyberlibel under the controversial Anti-Cybercrime law, a move condemned by human rights groups and journalists as an attack on press freedom. As she is a prominent critic of Philippine President Rodrigo Duterte, her arrest and conviction was seen by many in the opposition and the international community as a politically motivated act by Duterte's government. Ressa is one of the 25 leading figures on the Information and Democracy Commission launched by Reporters Without Borders. She was awarded the 2021 Nobel Peace Prize jointly with Dmitry Muratov for ""their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace."".

",https://en.wikipedia.org/wiki/Maria_Ressa
108,1740,Poland,126,Henryk Sienkiewicz,http://www.wikidata.org/entity/Q41502,wd:Q41502,13433,"Polish journalist, novelist, philanthropist and Nobel Prize laureate (1846-1916)",13433,"Polish journalist, novelist, philanthropist and Nobel Prize laureate (1846-1916)","Henryk Adam Aleksander Pius Sienkiewicz (US:  shen-KYAY-vitch, -⁠KYEV-itch, Polish: [ˈxɛnrɨk ˈadam alɛkˈsandɛr ˈpjus ɕɛnˈkʲɛvit͡ʂ]; 5 May 1846 – 15 November 1916), also known by the pseudonym Litwos (Polish pronunciation: [ˈlitfɔs]), was a Polish journalist, novelist and Nobel Prize laureate. He is best remembered for his historical novels, especially for his internationally known best-seller Quo Vadis (1896).
Born into an impoverished Polish noble family in Russian-ruled Congress Poland, in the late 1860s he began publishing journalistic and literary pieces. In the late 1870s he traveled to the United States, sending back travel essays that won him popularity with Polish readers. In the 1880s he began serializing novels that further increased his popularity.  He soon became one of the most popular Polish writers of the turn of the 19th and 20th centuries, and numerous translations gained him international renown, culminating in his receipt of the 1905 Nobel Prize in Literature for his ""outstanding merits as an epic writer.""
Many of his novels remain in print. In Poland he is best known for his ""Trilogy"" of historical novels – With Fire and Sword, The Deluge, and Sir Michael – set in the 17th-century Polish–Lithuanian Commonwealth; internationally he is best known for Quo Vadis, set in Nero's Rome. The Trilogy and Quo Vadis have been filmed, the latter several times, with Hollywood's 1951 version receiving the most international recognition.",https://en.wikipedia.org/wiki/Henryk_Sienkiewicz
109,1774,Portugal,16,José Maria Ferreira de Castro,http://www.wikidata.org/entity/Q1000729,wd:Q1000729,842179,Portuguese writer and journalist,842179,Portuguese writer and journalist,"José Maria Ferreira de Castro (24 May 1898 – 29 June 1974) was a Portuguese writer and journalist. Ferreira de Castro had a long career in journalism, and considered his fiction writing to be an extension of his documentary reporting; in that regard, he is considered to be one of the fathers of contemporary Portuguese social-realist (or neorealist) fiction, a forerunner of socially-committed literature about the rural and working classes later further established by Alves Redol, and more than once a nominee for the Nobel Prize in Literature.Ferreira de Castro was part of the group of noted public intellectuals that were oppositionists to the authoritarian Estado Novo regime; despite his participation in almost every pacific action directed against the regime, his national and international recognition as an acclaimed novelist meant he was never a victim of excessively violent repression, such as prison, torture or loss of political rights.",https://en.wikipedia.org/wiki/Ferreira_de_Castro
110,1783,Qatar,2,Abdulaziz Al-Mahmoud,http://www.wikidata.org/entity/Q22276683,wd:Q22276683,48000646,"Qatari engineer, journalist and author",48000646,"Qatari engineer, journalist and author","Abdulaziz Al-Mahmoud is a Qatari engineer, journalist and author. He previously served as editor-in-chief of The Peninsula and its Arabic counterpart, Al Sharq. As a writer, his debut novel Al Qursan experienced commercial success after its release in August 2011. The novel was translated into English under the title The Corsair one year later and went on to become one of the best-selling books to be released by a Qatari author.",https://en.wikipedia.org/wiki/Abdulaziz_Al-Mahmoud
111,1802,Republic of Ireland,32,"Michael Morris, 3rd Baron Killanin",http://www.wikidata.org/entity/Q320604,wd:Q320604,202514,Irish journalist and sports executive (1914-1999),202514,Irish journalist and sports executive (1914-1999),"Michael Morris, 3rd Baron Killanin,  (30 July 1914 – 25 April 1999) was an Irish journalist, author, sports official, and the sixth President of the International Olympic Committee (IOC). He succeeded his uncle as Baron Killanin in the Peerage of the United Kingdom in 1927, when he was 12, which allowed him to sit in the House of Lords at the Palace of Westminster as Lord Killanin upon turning 21.","https://en.wikipedia.org/wiki/Michael_Morris,_3rd_Baron_Killanin"
112,1809,Republic of the Congo,4,Jane Vialle,http://www.wikidata.org/entity/Q18745001,wd:Q18745001,64470918,French journalist and politician (1906-1953),64470918,French journalist and politician (1906-1953),"Jane or Jeanne Vialle (1906–1953) was a French journalist, politician and women's rights activist. She was a member of the French Resistance, and one of the first two black female senators in France.",https://en.wikipedia.org/wiki/Jane_Vialle
113,1820,Romania,81,Mihai Eminescu,http://www.wikidata.org/entity/Q184935,wd:Q184935,194842,"Romanian poet, novelist and journalist (1850-1889)",194842,"Romanian poet, novelist and journalist (1850-1889)","Mihai Eminescu (Romanian pronunciation: [miˈhaj emiˈnesku] (listen); born Mihail Eminovici; 15 January 1850 – 15 June 1889) was a Romanian Romantic poet from Moldavia, novelist, and journalist, generally regarded as the most famous and influential Romanian poet. Eminescu was an active member of the Junimea literary society and worked as an editor for the newspaper Timpul (""The Time""), the official newspaper of the Conservative Party (1880–1918). His poetry was first published when he was 16 and he went to Vienna, Austria to study when he was 19. The poet's manuscripts, containing 46 volumes and approximately 14,000 pages, were offered by Titu Maiorescu as a gift to the Romanian Academy during the meeting that was held on 25 January 1902. Notable works include Luceafărul (The Vesper/The Evening Star/The Lucifer/The Daystar), Odă în metru antic (Ode in Ancient Meter), and the five Letters (Epistles/Satires). In his poems, he frequently used metaphysical, mythological and historical subjects.
His father was Gheorghe Eminovici, an aristocrat from Bukovina, which was then part of the Austrian Empire (while his grandfather came from Banat). He crossed the border into Moldavia, settling in Ipotești, near the town of Botoșani. He married Raluca Iurașcu, an heiress of an old noble family. In a Junimea register, Eminescu wrote down his birthday date as 22 December 1849, while in the documents of Cernăuți Gymnasium, where Eminescu studied, his birth date is 15 January 1850. Nevertheless, Titu Maiorescu, in his work Eminescu and His Poems (1889) quoted N. D. Giurescu's research and adopted his conclusion regarding the date and place of Mihai Eminescu's birth, as being 15 January 1850, in Botoșani. This date resulted from several sources, among which there was a file of notes on christenings from the archives of the Uspenia (Princely) Church of Botoșani; inside this file, the date of birth was ""15 January 1850"" and the date of christening was the 21st of the same month. The date of his birth was confirmed by the poet's elder sister, Aglae Drogli, who affirmed that the place of birth was the village of Ipotești, Botoșani County.",https://en.wikipedia.org/wiki/Mihai_Eminescu
114,1853,Russia,85,Anna Politkovskaya,http://www.wikidata.org/entity/Q131240,wd:Q131240,1610152,Russian journalist (1958-2006),1610152,Russian journalist (1958-2006),"Anna Stepanovna Politkovskaya (Russian: Анна Степановна Политковская, IPA: [ˈanːə sʲtʲɪˈpanəvnə pəlʲɪtˈkofskəjə]; Ukrainian: Ганна Степанівна Політковська, IPA: [ˈɦɑnːɐ steˈpɑn⁽ʲ⁾iu̯nɐ pol⁽ʲ⁾itˈkɔu̯sʲkɐ]; née Mazepa, Мазепа, IPA: [mɐˈzɛpɐ]; 30 August 1958 – 7 October 2006) was a Russian journalist, writer, and human rights activist who reported on political events in Russia, in particular, the Second Chechen War (1999–2005).It was her reporting from Chechnya that made Politkovskaya's national and international reputation. For seven years, she refused to give up reporting on the war despite numerous acts of intimidation and violence. Politkovskaya was arrested by Russian military forces in Chechnya and subjected to a mock execution. She was poisoned while flying from Moscow via Rostov-on-Don to help resolve the 2004 Beslan school hostage crisis, and had to turn back, requiring careful medical treatment in Moscow to restore her health.
Her post-1999 articles about conditions in Chechnya were turned into books several times; Russian readers' main access to her investigations and publications was through Novaya Gazeta, a Russian newspaper known for its often-critical investigative coverage of Russian political and social affairs. From 2000 onwards, she received numerous international awards for her work. In 2004, she published Putin's Russia, a personal account of Russia for a Western readership.On 7 October 2006, she was murdered in the elevator of her block of flats, an assassination that attracted international attention. In June 2014, five men were sentenced to prison for the murder, but it is still unclear who ordered or paid for the contract killing.",https://en.wikipedia.org/wiki/Anna_Politkovskaya
115,1859,Rwanda,5,Eliézer Niyitegeka,http://www.wikidata.org/entity/Q25050947,wd:Q25050947,49977716,Rwandan journalist,49977716,Rwandan journalist,"Eliézer Niyitegeka (born 12 March 1952 in Kibuye prefecture, Rwanda – 28 March 2018) was a journalist, former politician, and high level participant in the 1994 Rwandan genocide. After studying journalism in Romania, Niyitegeka became first a journalist and presenter with Radio Rwanda and subsequently a Member of Parliament, then executive in a textile company and businessman. In 1991, with the coming of multi party democracy to Rwanda, he was one of the founding members of the opposition party, the Republican Democratic Movement (MDR). MDR advocated democracy, individual freedoms, the reunion of Rwandans regardless of ethnic considerations, and the end of violence. Its motto, as shown in the party's statute, was: ""Liberty, Justice and Work. From 1991 till 1994, he was President of the MDR in Kibuye prefecture. Niyitegeka also held a seat in the national political headquarters of his party.
Niyitegeka was the object of attacks because of his opinions and his position within the MDR. In March 1992, grenades were thrown at him at Gitega, as he was passing in his vehicle. After the signing of the Arusha power-sharing protocols, in January 1993, Niyitegeka's garage and petrol station in Nyabugogo, Gatsyata, were pillaged during protests organised by the MRND. In the second half of 1993, Niyitegeka was assaulted after chairing a political rally in Kibuye, when passing through Birambo.
On 9 April 1994, he was appointed Minister of Information. He held this position until the time he fled Rwanda in mid-July 1994. In this capacity, he was responsible for government policies adopted in the information sector. He exercised authority and control over all the institutions and staff members under his ministry. He also participated in the drafting of the legislation passed by the Interim Government.
Throughout his time as the Minister of Information, Niyitegeka committed numerous atrocities and was an active participator and leader in the Rwandan genocide until fleeing the country in July 1994. He was finally arrested for his crimes in Nairobi, Kenya on February 9, 1999 and sent to the United Nations prison quarters in Arusha, Tanzania to await trial.
On 16 May 2003, the First Trial Chamber of the ICTR handed down its judgement and found Eliezer Niyitegeka -by a unanimous verdict- guilty of: “genocide” (1st count), of “conspiracy to commit genocide” (3rd count), of “direct and public incitation to commit genocide” (4th count) of “murder as a crime against humanity” (5th count), of “extermination as a crime against humanity” (6th count) and of “other inhumane acts as a crime against humanity” (8th count). Niyitegeka was found not guilty of “complicity in genocide” (2nd count) and not guilty of “rape as a crime against humanity” (7th count).
Niyitegeka was sentenced to life imprisonment, the maximum penalty provided for by the ICTR. He appealed his verdict, but on 9 July 2004, the Appeals Chamber confirmed, in its entirety, the verdict and the sentence imposed on Niyitegeka by the First Trial Chamber.
On 7 December 2008, he was transferred to Mali, where he died on 28 March 2018.

",https://en.wikipedia.org/wiki/Eli%C3%A9zer_Niyitegeka
116,1874,Samoa,2,Savea Sano Malifa,http://www.wikidata.org/entity/Q7428133,wd:Q7428133,3910542,Samoan journalist,3910542,Samoan journalist,"Savea Sano Malifa OM (also known as Fata Sano Malifa) is a Samoan poet, journalist, newspaper editor, and publisher. He is the founder and editor-in-chief of the Samoa Observer, the main newspaper in Samoa. He is the author of the novel Alms for Oblivion. The Pacific Islands News Association awarded him the Pacific Freedom of Information award for defending the right of the Samoan people to freedom of information and expression. In 1998, he received the Commonwealth Press Union's Astor Award and Index on Censorship's Press Freedom Award.
Savea, an outspoken critic of former Prime Minister Tofilau Eti Alesana and his government, lost a civil claim over a story alleging the use of public funds to upgrade a hotel owned by Tofilau's children for a visit by Prince Edward, Earl of Wessex. The Samoa Observer was ordered to pay $WS 75,000 in court costs to Tofilau and $50,000 damages for defamation.

",https://en.wikipedia.org/wiki/Savea_Sano_Malifa
117,1891,Saudi Arabia,5,Adel Al Toraifi,http://www.wikidata.org/entity/Q4681546,wd:Q4681546,37930355,Saudi journalist and specialist in Middle Eastern affairs,37930355,Saudi journalist and specialist in Middle Eastern affairs,"Adel Al Toraifi (Arabic: عادل الطريفي) (born 1979) is a Saudi journalist and a specialist in Middle Eastern affairs, focusing on Saudi-Iranian relations and foreign policy decision making in the Arab states of the Persian Gulf. He was the minister of culture and information of Saudi Arabia from January 2015 to April 2017.",https://en.wikipedia.org/wiki/Adel_Al_Toraifi
