,Unnamed: 0,country,number,item,item_id,wikidata_description_x,pageid_y,wikidata_description_y,pageid_x.1,wikidata_description_x.1,pageid_y.1,wikidata_description_y.1,pageid_x.1.1,wikidata_description_x.1.1,pageid_y.1.1,wikidata_description_y.1.1,pageid_x,wikidata_description_x.1.1.1,shortform,pageid_y.1.1.1,wikidata_description_y.1.1.1,pageid_x.1.1.1,wikidata_description_x.1.1.1.1,pageid_y.1.1.1.1,wikidata_description_y.1.1.1.1,pageid,wikidata_description,wikipedia_summary,wikipedia_url
1137,1140,South Africa,111,Nadine Gordimer,http://www.wikidata.org/entity/Q47619,South African writer,179599,South African writer,179599,South African writer,179599,South African writer,179599,South African writer,179599,South African writer,179599,South African writer,wd:Q47619,179599,South African writer,179599,South African writer,179599,South African writer,179599,South African writer,"Nadine Gordimer (20 November 1923 – 13 July 2014) was a South African writer and political activist. She received the Nobel Prize in Literature in 1991, recognized as a writer ""who through her magnificent epic writing has ... been of very great benefit to humanity"".Gordimer's writing dealt with moral and racial issues, particularly apartheid in South Africa. Under that regime, works such as Burger's Daughter and July's People were banned. She was active in the anti-apartheid movement, joining the African National Congress during the days when the organization was banned, and gave Nelson Mandela advice on his famous 1964 defence speech at the trial which led to his conviction for life. She was also active in HIV/AIDS causes.",https://en.wikipedia.org/wiki/Nadine_Gordimer
1141,1144,South Korea,99,Park Geun-hye,http://www.wikidata.org/entity/Q138048,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,wd:Q138048,2354070,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,2354070,11th President of South Korea,"Park Geun-hye (Korean: 박근혜; Hanja: 朴槿惠; RR: Bak Geun(-)hye; IPA: [pak‿k͈ɯn.hje]; often in English ; born 2 February 1952) is a South Korean politician who served as the 11th president of South Korea from 2013 until 2017, when she was impeached and a year later convicted on related corruption charges.
Park was the first woman to be elected president, and also the first female president popularly elected as head of state in East Asia. She was also the first South Korean president to be born after the founding of South Korea. Her father, Park Chung-hee, was president from 1963 to 1979, serving five consecutive terms after he seized power in 1961.Before her presidency, Park was leader of the conservative Grand National Party (GNP) from 2004 to 2006 and leader of the Liberty Korea Party from 2011 to 2012. She was also a member of the National Assembly, serving four consecutive parliamentary terms between 1998 and 2012. Park started her fifth term as a representative elected via national list in June 2012. In 2013 and 2014, Park ranked 11th on the Forbes list of the world's 100 most powerful women and the most powerful woman in East Asia. In 2014, she ranked 46th on the Forbes list of the world's most powerful people, the third-highest South Korean on the list, after Lee Kun-hee and Lee Jae-yong.
On 9 December 2016, Park was impeached by the National Assembly on charges related to influence peddling by her top aide, Choi Soon-sil. Then-Prime Minister Hwang Kyo-ahn assumed her powers and duties as Acting President as a result. The Constitutional Court upheld the impeachment by a unanimous 8–0 ruling on 10 March 2017, thereby removing Park from office, making her the first Korean president to be so removed. On 6 April 2018, South Korean courts sentenced her to 24 years in prison (later increased to 25 years) for corruption and abuse of power.In 2018, two separate criminal cases resulted in an increase of seven years in Park's prison sentence. She was found guilty of illegally taking off-the-book funds from the National Intelligence Service (NIS) and given a five-year prison sentence, and also found guilty of illegally interfering in the Saenuri Party primaries in the 2016 South Korean legislative election, for which she was sentenced to two more years in prison. On 24 December 2021, it was announced that she would receive a pardon on compassionate grounds from South Korean President Moon Jae-in and be released from prison on 31 December.",https://en.wikipedia.org/wiki/Park_Geun-hye
1147,1150,South Sudan,30,Alek Wek,http://www.wikidata.org/entity/Q239508,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,wd:Q239508,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,595750,South Sudanese-British model and designer,"Alek Wek (born 16 April 1977) is a South Sudanese-British model and designer who began her fashion career at the age of 18 in 1995. She has been hailed for her influence on the perception of beauty in the fashion industry. She is from the Dinka ethnic group in South Sudan, but fled to Britain in 1991 to escape the civil war in Sudan. In 2015, she was listed as one of BBC's 100 Women.

",https://en.wikipedia.org/wiki/Alek_Wek
1150,1153,Spain,114,Penélope Cruz,http://www.wikidata.org/entity/Q39666,Spanish actress,23006,Spanish actress,23006,Spanish actress,23006,Spanish actress,23006,Spanish actress,23006,Spanish actress,23006,Spanish actress,wd:Q39666,23006,Spanish actress,23006,Spanish actress,23006,Spanish actress,23006,Spanish actress,"Penélope Cruz Sánchez (; Spanish: [peˈnelope ˈkɾuθ ˈsantʃeθ]; born 28 April 1974) is a Spanish actress. Known for her roles in films of several genres, she has received various accolades, including an Academy Award and a British Academy Film Award, in addition to nominations for a Primetime Emmy Award, four Golden Globe Awards, and five Screen Actors Guild Awards.
Signed by an agent at age 15, Cruz made her acting debut at 16 on television, and her feature film debut the following year in Jamón Jamón (1992). Her subsequent roles included Belle Époque (1992), Open Your Eyes (1997), The Hi-Lo Country (1999), The Girl of Your Dreams (2000), and Woman on Top (2000). She is also known for her frequent collaborations with director Pedro Almodóvar in Live Flesh (1997), All About My Mother (1999), Volver (2006), Broken Embraces (2009), I'm So Excited! (2013), Pain and Glory (2019), and Parallel Mothers (2021), as well as with director Woody Allen in Vicky Cristina Barcelona (2008) and To Rome with Love (2012).
Cruz achieved international recognition for her lead roles in the films All the Pretty Horses (2000), Vanilla Sky (2001), Captain Corelli's Mandolin (2001), and Blow (2001). She has since appeared in a variety of films from a wide range of genres, including the comedy Waking Up in Reno (2002), the thriller Gothika (2003), the Christmas film Noel (2004), the action-adventure films Sahara (2005) and Pirates of the Caribbean: On Stranger Tides (2011), the crime drama The Counselor (2013), and the mystery film Murder on the Orient Express (2017). She received critical acclaim for her roles in Volver (2006) and Nine (2009), earning Golden Globe and Academy Award nominations for each. She won the Academy Award for Best Supporting Actress in 2008 for her performance in Woody Allen's Vicky Cristina Barcelona. She is the first and only Spanish actress to be nominated for and to win an Academy Award, as well as the first to receive a star on the Hollywood Walk of Fame. In 2018, Cruz made her American television debut as Italian fashion designer Donatella Versace in the FX series The Assassination of Gianni Versace: American Crime Story, for which she was nominated for the Primetime Emmy Award for Outstanding Supporting Actress in a Limited Series or Movie.
Cruz has modelled for Mango, Ralph Lauren, and L'Oréal, and along with her younger sister Mónica Cruz, also designed clothing for Mango. She has been a house ambassador for Chanel since 2018. Cruz has volunteered in Uganda and India, where she spent one week working with Mother Teresa; she donated her salary from The Hi-Lo Country to help fund the late nun's mission.",https://en.wikipedia.org/wiki/Pen%C3%A9lope_Cruz
1170,1173,Sri Lanka,68,Sirimavo Bandaranaike,http://www.wikidata.org/entity/Q194291,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),wd:Q194291,436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),436261,Sri Lankan politician (1916-2000),"Sirima Ratwatte Dias Bandaranaike (Sinhala: සිරිමා රත්වත්තේ ඩයස් බණ්ඩාරනායක; Tamil: சிறிமா ரத்வத்தே டயஸ் பண்டாரநாயக்கே; 17 April 1916 – 10 October 2000), commonly known as Sirimavo Bandaranaike, was a Sri Lankan politician. She was the world's first female prime minister, when she became Prime Minister of Sri Lanka (then the Dominion of Ceylon) in 1960. She served three terms: 1960–1965, 1970–1977 and 1994–2000.
Born into a Sinhalese Kandyan aristocratic family, Bandaranaike was educated in Catholic, English-medium schools, but remained a Buddhist and spoke Sinhala as well as English. On graduating from secondary school, she worked for various social programmes before marrying and raising a family. Playing hostess to her husband S. W. R. D. Bandaranaike, who was involved in politics and later became prime minister, she gained his trust as an informal advisor. Her social work focused on improving the lives of women and girls in rural areas of Sri Lanka. Following her husband's assassination in 1959, Bandaranaike entered politics, becoming Chairwoman of the Sri Lanka Freedom Party; she led the party to victory in the July 1960 election.
Bandaranaike attempted to reform the former British Colony of Ceylon into a socialist republic by nationalising organisations in the banking, education, industry, media and trade sectors. Changing the administrative language from English to Sinhala, she exacerbated discontent among the native Tamil population, and with the estate Tamils, who had become stateless under the Citizenship Act of 1948. During Bandaranaike's first two terms as Prime Minister, the country was plagued by high inflation and taxes, a dependence on food imports to feed the populace, high unemployment, and polarisation between the Sinhalese and Tamil populations because of her Sinhalese nationalist policies. Surviving an attempted coup d'état in 1962, as well as a 1971 insurrection of radical youths, in 1972 she oversaw the drafting of a new constitution and the formation of the Sri Lankan republic. In 1975, Bandaranaike created what would eventually become the Sri Lankan Ministry of Women and Child Affairs, also appointing the first woman to serve in the Sri Lankan Cabinet. Bandaranaike's tenure was marked by inadequate economic development at the national level. She played a large role abroad as a negotiator and a leader among the Non-Aligned Nations.
Ousted from power in the 1977 elections, Bandaranaike was stripped of her civil rights in 1980 for abuses of power during her tenure and barred from government for seven years. Her successors initially improved the domestic economy, but failed to address social issues, and led the country into a protracted civil war. When she returned to party leadership in 1986, Bandaranaike opposed allowing the Indian Peace Keeping Force to intervene in the civil war, believing it violated Sri Lankan sovereignty. Failing to win the office of President in 1988, she served as Leader of the Opposition in the legislature from 1989 to 1994. When her daughter won the presidential election that year, Bandaranaike was appointed to her third term as Prime Minister and served until her retirement in 2000, two months prior to her death.",https://en.wikipedia.org/wiki/Sirimavo_Bandaranaike
1173,1176,State of Palestine,157,Virgin Mary,http://www.wikidata.org/entity/Q345,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,wd:Q345,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,73513,religious figure; mother of Jesus of Nazareth,"According to the gospels of Matthew and Luke in the New Testament, Mary was a first-century Jewish woman of Nazareth, the wife of Joseph, and the mother of Jesus.
Both the New Testament and the Quran describe Mary as a virgin. According to Christian theology, Mary conceived Jesus through the Holy Spirit while still a virgin, and accompanied Joseph to Bethlehem, where Jesus was born.Mary has been venerated since early Christianity, and is considered by millions to be the holiest and greatest saint because of her extraordinary virtues as seen at the Annunciation by the archangel Gabriel. She is said to have miraculously appeared to believers many times over the centuries. The Eastern and Oriental Orthodox, Catholic, Anglican, and Lutheran churches believe that Mary, as mother of Jesus, is the Theotokos (Mother of God; Θεοτόκος). There is significant diversity in the Marian beliefs and devotional practices of major Christian traditions. The Catholic Church holds distinctive Marian dogmas, namely her status as the Mother of God, her Immaculate Conception, her perpetual virginity, and her Assumption into heaven. Many Protestants minimize Mary's role within Christianity, basing their argument on the alleged lack of biblical support for any beliefs other than the virgin birth.Mary also has the highest position in Islam among all women. She is mentioned in the Quran more often than in the Bible, where two of the longer chapters of the Quran are named after her and her family.According to Catholic and Eastern Christian teachings, at the end of her earthly life, God raised Mary's body into heaven; this is known in the Christian West as the Assumption of Mary, and in the East as the Dormition of the Mother of God.

","https://en.wikipedia.org/wiki/Mary,_mother_of_Jesus"
1175,1178,Sudan,34,Josephine Bakhita,http://www.wikidata.org/entity/Q236030,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,wd:Q236030,2585870,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,2585870,Italian saint and former slave,"Josephine Margaret Bakhita,  (ca. 1869 – 8 February 1947), was a Sudanese-Italian Canossian religious sister who lived in Italy for 45 years, after having been a slave in Sudan. In 2000, she was declared a saint, the first Black woman to receive the honor in the modern era.",https://en.wikipedia.org/wiki/Josephine_Bakhita
1185,1188,Suriname,20,Letitia Vriesde,http://www.wikidata.org/entity/Q260251,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,wd:Q260251,2556569,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,2556569,athletics competitor,"Letitia Alma Vriesde (born 5 October 1964) is a female former track and field athlete from Suriname, who specialised in the 800 metres but was also successful over 1500 metres. She is the first (and to date, only) sportsperson from Suriname to compete at five Olympic Games. She won a silver medal at the 1995 World Championships and a bronze medal at the 2001 World Championships. Vriesde holds the South American records for the 800 metres, 1000 metres and 1500 metres (indoors and outdoors) and also for the 3000 metres (indoors).",https://en.wikipedia.org/wiki/Letitia_Vriesde
1191,1195,Sweden,143,Selma Lagerlöf,http://www.wikidata.org/entity/Q44519,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,wd:Q44519,24002071,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,24002071,Swedish writer,"Selma Ottilia Lovisa Lagerlöf (, US also , Swedish: [ˈsɛ̂lːma ˈlɑ̂ːɡɛˌɭøːv] (listen); 20 November 1858 – 16 March 1940) was a Swedish author and teacher. She published her first novel, Gösta Berling's Saga, at the age of 33. She was the first woman to win the Nobel Prize in Literature, which she was awarded in 1909. Additionally, she was the first woman to be granted a membership in the Swedish Academy in 1914.",https://en.wikipedia.org/wiki/Selma_Lagerl%C3%B6f
1211,1215,Switzerland,94,Tina Turner,http://www.wikidata.org/entity/Q131814,American-born singer,82061,American-born singer,82061,American-born singer,82061,American-born singer,82061,American-born singer,82061,American-born singer,82061,American-born singer,wd:Q131814,82061,American-born singer,82061,American-born singer,82061,American-born singer,82061,American-born singer,"Tina Turner (born Anna Mae Bullock;  November 26, 1939) is an American-born Swiss singer, songwriter and actress. Widely referred to as the ""Queen of Rock 'n' Roll"", she rose to prominence as the lead singer of the Ike & Tina Turner Revue before launching a successful career as a solo performer.
Turner began her career with Ike Turner's Kings of Rhythm in 1957. Under the name Little Ann, she appeared on her first record, ""Boxtop"", in 1958. In 1960, she was introduced as Tina Turner with the hit duet single ""A Fool in Love"". The duo Ike & Tina Turner became ""one of the most formidable live acts in history"". They released hits such as ""It's Gonna Work Out Fine"", ""River Deep – Mountain High"", ""Proud Mary"", and ""Nutbush City Limits"" before disbanding in 1976.
In the 1980s, Turner launched ""one of the greatest comebacks in music history"". Her 1984 multi-platinum album Private Dancer contained the hit song ""What's Love Got to Do with It"", which won the Grammy Award for Record of the Year and became her first and only No.1 on the Billboard Hot 100. At age 44, she was the oldest female solo artist to top the Hot 100. Her chart success continued with ""Better Be Good to Me"", ""Private Dancer"", ""We Don't Need Another Hero (Thunderdome)"", ""Typical Male"", ""The Best"", ""I Don't Wanna Fight"", and ""GoldenEye"". During her Break Every Rule World Tour in 1988, she set a then-Guinness World Record for the largest paying audience (180,000) for a solo performer. Turner also acted in the films Tommy (1975), Mad Max Beyond Thunderdome (1985), and Last Action Hero (1993). In 1993, What's Love Got to Do with It, a biopic adapted from her autobiography I, Tina: My Life Story, was released. In 2009, Turner retired after completing her Tina!: 50th Anniversary Tour, which is the 15th highest-grossing tour of the 2000s. In 2018, she became the subject of the jukebox musical Tina.
Having sold over 100 million records worldwide, Turner is one of the best-selling recording artists of all time. She has received 12 Grammy Awards, which include eight competitive awards, three Grammy Hall of Fame awards, and a Grammy Lifetime Achievement Award. She is the first black artist and first female to be on the cover of Rolling Stone. Rolling Stone ranked her among the 100 Greatest Artists of All Time and the 100 Greatest Singers of All Time. Turner has a star on the Hollywood Walk of Fame and the St. Louis Walk of Fame. She is a two-time inductee into the Rock and Roll Hall of Fame, with Ike Turner in 1991 and as a solo artist in 2021. She is also a 2005 recipient of the Kennedy Center Honors and Women of the Year award.",https://en.wikipedia.org/wiki/Tina_Turner
1219,1223,Syria,56,Zenobia,http://www.wikidata.org/entity/Q189705,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,wd:Q189705,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,43382,3rd-century Queen of the Palmyrene Empire,"Septimia Zenobia (Palmyrene: 𐡡𐡶𐡦𐡡𐡩 : BTZBY, vocalized as Bat-Zabbai; c. AD 240 – c. 274) was a third-century queen of the Palmyrene Empire in Syria. Many legends surround her ancestry; she was probably not a commoner and she married the ruler of the city, Odaenathus. Her husband became king in 260, elevating Palmyra to supreme power in the Near East by defeating the Sassanians and stabilizing the Roman East. After Odaenathus' assassination, Zenobia became the regent of her son Vaballathus and held de facto power throughout his reign.
In 270, Zenobia launched an invasion that brought most of the Roman East under her sway and culminated with the annexation of Egypt. By mid-271 her realm extended from Ancyra, central Anatolia, to southern Egypt, although she remained nominally subordinate to Rome. However, in reaction to the campaign of the Roman emperor Aurelian in 272, Zenobia declared her son emperor and assumed the title of empress (declaring Palmyra's secession from Rome). The Romans were victorious after heavy fighting; the queen was besieged in her capital and captured by Aurelian, who exiled her to Rome, where she spent the remainder of her life.
Zenobia was a cultured monarch and fostered an intellectual environment in her court, which was open to scholars and philosophers. She was tolerant toward her subjects and protected religious minorities. The queen maintained a stable administration which governed a multicultural multiethnic empire. Zenobia died after 274, and many tales have been recorded about her fate. Her rise and fall have inspired historians, artists and novelists, and she is a patriotic symbol in Syria.",https://en.wikipedia.org/wiki/Zenobia
1221,1225,São Tomé and Príncipe,24,Naide Gomes,http://www.wikidata.org/entity/Q236416,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,wd:Q236416,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,4037628,Santomese/Portuguese athlete,"Enezaide do Rosário da Vera Cruz Gomes OIH (born 20 November 1979) is a former Portuguese heptathlete and long jumper. She also competed in 100 metres hurdles at the 2000 Summer Olympics. At club level, she represented Sporting CP.",https://en.wikipedia.org/wiki/Naide_Gomes
1227,1231,Taiwan,101,Tsai Ing-wen,http://www.wikidata.org/entity/Q233984,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,wd:Q233984,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,4087894,President of Taiwan (R.O.C. authorities) and Chairperson of the Democratic Progressive Party,"Tsai Ing-wen (Chinese: 蔡英文; pinyin: Cài Yīngwén) (born 31 August 1956) is a Taiwanese politician and academic serving as the President of the Republic of China (Taiwan) since 2016. A member of the Democratic Progressive Party (DPP), Tsai is the first female president of Taiwan. She has served as Chair of the DPP since 2020, and previously from 2008 to 2012 and 2014 to 2018.Tsai grew up in Taipei and studied law and international trade, and later became a law professor at Soochow University School of Law and National Chengchi University after earning an LLB from National Taiwan University and an LLM from Cornell Law School. She later studied law at the London School of Economics and Political Science, with her thesis titled ""Unfair trade practices and safeguard actions"", and was awarded a Ph.D. in law from the University of London. In 1993, as an independent (without party affiliation), she was appointed to a series of governmental positions, including trade negotiator for WTO affairs, by the then-ruling Kuomintang (KMT) and was one of the chief drafters of the special state-to-state relations doctrine of President Lee Teng-hui.After DPP President Chen Shui-bian took office in 2000, Tsai served as Minister of the Mainland Affairs Council throughout Chen's first term as a non-partisan. She joined the DPP in 2004 and served briefly as a DPP-nominated at-large member of the Legislative Yuan. From there, she was appointed Vice Premier under Premier Su Tseng-chang until the cabinet's mass resignation in 2007. She was elected and assumed DPP leadership in 2008, following her party's defeat in the 2008 presidential election. She resigned as chair after losing the 2012 presidential election.Tsai ran for New Taipei City mayorship in the November 2010 municipal elections but was defeated by another former vice premier, Eric Chu (KMT). In April 2011, Tsai became the first female presidential candidate of a major party in the history of the Republic of China after defeating her former superior, Su Tseng-chang, in the DPP's primary by a slight margin. She was defeated by incumbent Kuomintang candidate Ma Ying-jeou in the fifth direct presidential election in 2012, but was elected in a landslide four years later in the sixth direct presidential election in 2016. Tsai is the second president from the Democratic Progressive Party. She is the first president to have never held a prior elected executive post and the first to be popularly elected without having previously served as the mayor of Taipei. She was re-elected with an increased share of the vote in the 2020 presidential election.Tsai was named one of Time's most influential people of 2020 and was #9 on Forbes's most powerful women and #2 female politician after Kamala Harris of 2021.",https://en.wikipedia.org/wiki/Tsai_Ing-wen
1231,1235,Tajikistan,51,Roxana,http://www.wikidata.org/entity/Q190055,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,wd:Q190055,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,262156,Bactrian princess and wife of Alexander the Great,"Roxana (c. 340 BCE – 310 BCE, Ancient Greek: Ῥωξάνη; Old Iranian: *Raṷxšnā- ""shining, radiant, brilliant""; sometimes Roxanne, Roxanna, Rukhsana, Roxandra and Roxane) was a Sogdian or a Bactrian princess whom Alexander the Great married after defeating Darius, ruler of the Achaemenid Empire, and invading Persia. The exact date of her birth is unknown, but she was probably in her late teens or early twenties at the time of her wedding to Alexander the Great.",https://en.wikipedia.org/wiki/Roxana
1232,1236,Tanzania,53,Samia Suluhu,http://www.wikidata.org/entity/Q16193885,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,wd:Q16193885,38577619,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,38577619,President of Tanzania,"Samia Suluhu Hassan (born 27 January 1960) is a Tanzanian politician who is serving as the sixth and current president of Tanzania. She is a member of the ruling social-democrat Chama Cha Mapinduzi (CCM) party. Suluhu is the third female head of government of an East African Community (EAC) country, after Sylvie Kinigi in Burundi and Agathe Uwilingiyimana in Rwanda, and is also the first female president of Tanzania. She took office on 19 March 2021 after the death of President John Magufuli on 17 March 2021.
A native of Zanzibar, Suluhu served as a minister in the semi-autonomous region during the administration of President Amani Karume. She served as the Member of Parliament for the Makunduchi constituency from 2010 to 2015 and was the Minister of State in the Vice-President's Office for Union Affairs from 2010 to 2015. In 2014, she was elected as the vice-chairperson of the Constituent Assembly tasked with the drafting of the country's new constitution.
Suluhu became Tanzania's first female vice-president following the 2015 general election, after being elected on the CCM ticket with President Magufuli. Suluhu and Magufuli were re-elected to a second term in 2020. She briefly served as the second female interim Head of State in the EAC – 27 years after Sylvie Kinigi of Burundi, spanning a period around the end of the year 1993.",https://en.wikipedia.org/wiki/Samia_Suluhu_Hassan
1233,1237,Thailand,80,Yingluck Shinawatra,http://www.wikidata.org/entity/Q57670,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,wd:Q57670,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,31770637,Thai businesswoman and politician,"Yingluck Shinawatra (Thai: ยิ่งลักษณ์ ชินวัตร, RTGS: Yinglak Chinnawat, pronounced [jîŋ.lák t͡ɕʰīn.nā.wát], Chinese: 丘英樂, Serbian: Јинглак Шинаватра / Jinglak Šinavatra; born 21 June 1967), nicknamed Pou (Thai: ปู, RTGS: Pu, pronounced [pūː], meaning ""crab""), is a Thai businesswoman, politician and a member of the Pheu Thai Party who became the Prime Minister of Thailand following the 2011 election. Yingluck was Thailand's first  female prime minister and its youngest in over 60 years. She was removed from office on 7 May 2014 by a Constitutional Court decision.Born in Chiang Mai Province into a wealthy family of Hakka Chinese descent, Yingluck Shinawatra earned a bachelor's degree from Chiang Mai University and a master's degree from Kentucky State University, both in public administration. She then became an executive in the businesses founded by her elder brother, Thaksin Shinawatra and later became the president of property developer SC Asset and managing director of Advanced Info Service. Thaksin served as Prime Minister from 2001 until 2006 when he was overthrown by a military coup. He fled abroad shortly before he was convicted in absentia of using his position to increase his own wealth. He has since lived in self-imposed exile to avoid his sentence in prison.
In May 2011, the Pheu Thai Party, which maintains close ties to Thaksin, nominated Yingluck as their candidate for Prime Minister in the 2011 election. She campaigned on a platform of national reconciliation, poverty eradication, and corporate income tax reduction and won a landslide victory.
After mass protests against her government in late 2013, she asked for a dissolution of parliament on 9 December 2013, triggering a snap election, but continued to act as caretaker prime minister. On 7 May 2014, the Constitutional Court of Thailand removed Yingluck Shinawatra from the office of caretaker prime minister and defence minister following months of political crisis. The court found her guilty of charges of abuse of power over the removal of national security chief Thawil Pliensri in 2011. In the wake of the May 2014 military coup, Yingluck was arrested along with former cabinet ministers and political leaders of all parties and held at an army camp for a few days while the coup was consolidated.
She was tried in 2016 but did not appear in court in August 2017 for the verdict. An arrest warrant was issued. She reportedly fled the country. In September 2017, she was found guilty in absentia and sentenced to five years in prison. She is rumoured to now be in London. Yingluck has become the chairwoman and legal representative of Shantou International Container Terminals Ltd since 12 December 2018, a Chinese port operator, operating in the Shantou Port area in eastern Guangdong.",https://en.wikipedia.org/wiki/Yingluck_Shinawatra
